m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std
1,adaptive_pinn,calibrated,0.499841480749473,0.003383764244878924,0.6465219035776417,0.0016729070482697556,2.0739356560894135,0.012836673918340187,0.8333333333333334,0.03118047822311623,1.8668730257887702,0.09478094227901425
1,adaptive_pinn,raw,0.499841480749473,0.003383764244878924,0.6465219035776417,0.0016729070482697556,2.0739356560894135,0.012836673918340187,0.35,0.0,0.4640579151053291,0.029638614315884448
1,deep_ensemble_pinn,calibrated,0.49814192235221466,0.0009652991683029494,0.6457661944638364,0.00029236489275906056,2.1149417102209678,0.010305978154984224,0.8366666666666667,0.01825741858350555,1.675578248364851,0.036687142121560594
1,deep_ensemble_pinn,raw,0.49814192235221466,0.0009652991683029494,0.6457661944638364,0.00029236489275906056,2.1149417102209678,0.010305978154984224,0.03666666666666667,0.02173067468400883,0.04538807140104473,0.01168186966846411
1,fixed_pinn,calibrated,0.49985933836859964,0.0026618557788862583,0.6464495471436165,0.0011015668709881468,2.0989386672679116,0.02419800454517279,0.8366666666666667,0.013944333775567964,1.6747553110122682,0.01516153882778783
1,fixed_pinn,raw,0.49985933836859964,0.0026618557788862583,0.6464495471436165,0.0011015668709881468,2.0989386672679116,0.02419800454517279,0.0,0.0,0.0,0.0
1,mc_dropout_pinn,calibrated,0.4982773972489561,0.0024327993013006192,0.64625436145563,0.0020232136453881638,2.0916594380815736,0.017569004072258584,0.8333333333333334,0.02041241452319321,1.8621793555304564,0.027524159145771377
1,mc_dropout_pinn,raw,0.4982773972489561,0.0024327993013006192,0.64625436145563,0.0020232136453881638,2.0916594380815736,0.017569004072258584,0.3366666666666666,0.013944333775567924,0.4398770456597364,0.015310051087964911
2,adaptive_pinn,calibrated,0.2920271907014152,0.003973856575105702,0.3909695513635226,0.007834735762112651,0.9465959271164508,0.13821434647878186,0.8233333333333335,0.04503085362035433,1.18328814573943,0.1831414459900422
2,adaptive_pinn,raw,0.2920271907014152,0.003973856575105702,0.3909695513635226,0.007834735762112651,0.9465959271164508,0.13821434647878186,0.5066666666666666,0.04013864859597433,0.5486661503499684,0.0289686465833108
2,deep_ensemble_pinn,calibrated,0.28455136609760423,0.0006237989744354149,0.40125201309818104,0.006377524318417924,0.652865176901462,0.04159483643151962,0.8666666666666666,0.016666666666666653,1.219141781543692,0.05263592107310186
2,deep_ensemble_pinn,raw,0.28455136609760423,0.0006237989744354149,0.40125201309818104,0.006377524318417924,0.652865176901462,0.04159483643151962,0.09,0.030276503540974914,0.06463334343334039,0.014047632011158086
2,fixed_pinn,calibrated,0.28663775903172795,0.0023777112568524757,0.3997001287642024,0.009218173359008687,0.6331286687756303,0.049066381857035116,0.8699999999999999,0.007453559924999271,1.2336215257644654,0.03289308754807926
2,fixed_pinn,raw,0.28663775903172795,0.0023777112568524757,0.3997001287642024,0.009218173359008687,0.6331286687756303,0.049066381857035116,0.0,0.0,0.0,0.0
2,mc_dropout_pinn,calibrated,0.2828119693691221,0.0026171668299933403,0.39953695327968386,0.00513325707322215,0.6477260049352956,0.045940505141288335,0.8666666666666666,0.01666666666666668,1.3386391580298853,0.05046478389034477
2,mc_dropout_pinn,raw,0.2828119693691221,0.0026171668299933403,0.39953695327968386,0.00513325707322215,0.6477260049352956,0.045940505141288335,0.55,0.031180478223116162,0.5261850872829867,0.027999786674255477
