m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,adaptive_pinn,uncertainty_adaptive_beta=5,0.7780464530693422,0.0023784524691163687,0.9634978464402065,0.0027875588928943386,0.9971146121189193,0.03005695987491813,0.03508771929824561,0.030386856273138196,0.059794417342881816,0.01560924246695794,0.6394252192982456,0.024247088144184182,2325.8501421531187,1181.332745979076,0.006403736933838983,0.0005786945543357803
1,anchored_correction,anchored_correction,0.775627297888461,0.000843125016764468,0.9658503272359121,0.0015393949837642289,1.0270147642915866,0.010710724771843101,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,466434217210.2679,1487164494.9943612,0.04313977552875605,0.02012896840018417
1,anchored_correction_pinn,anchored_correction_pinn_lambda=1,0.7756965014626059,0.00035507346190613874,0.9656551184815423,0.0006384913452293225,1.0261356296186053,0.004510711992459792,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,466245039802.3034,616666978.3372781,0.002581158372561713,0.0031085428474577712
1,anchored_correction_uq,anchored_correction_uq,0.7769927404649694,0.000723037159980711,0.9640347730273214,0.0008117637298014456,1.0129657076096896,0.005185791263557829,0.0,0.0,0.029536866437129907,0.004830055721566091,0.6668375000000001,0.0,9759.31306046374,2846.416179194124,0.02206118581619605,0.008091379709898879
1,fixed_pinn,fixed_gompertz_lambda=10,0.7755479935491295,0.00042280147380599205,0.9659278143912564,0.0007591903513044866,1.0280222150463552,0.0053711017029387485,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,466508463417.76807,733241203.1319715,0.0027306132394427293,0.0032261075130729667
1,no_physics,plain_mlp,0.7771542389926158,0.0008758674382774565,0.9635568203044439,0.0011471116604861884,1.0076171120287312,0.011126671492273239,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,464221311586.4292,1105667581.3920608,0.033403716824472414,0.05380389901949806
1,persistence,persistence_anchor,0.7777538334780632,0.0,0.9627954249594772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,463487515148.55365,0.0,0.0,0.0
2,adaptive_pinn,uncertainty_adaptive_beta=5,0.6011869093459947,0.008626724330764663,0.7611638203108052,0.007638194451764298,1.401030163316623,0.09321637755643684,0.12280701754385964,0.040198032411893334,0.24647454014885342,0.03383473833766396,0.5780217105263158,0.03239755855853981,87.32226922592224,31.718547577462335,0.007413382849865925,0.002855955962238199
2,anchored_correction,anchored_correction,0.6000402375010022,0.0049951077186224475,0.7759164120864265,0.011006556935687391,1.4879172812699555,0.06263691946507571,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,301063520691.4996,8531290779.819187,0.3921727643645425,0.04441077672100771
2,anchored_correction_pinn,anchored_correction_pinn_lambda=1,0.6020670137123058,0.004908178862842126,0.7762406911170562,0.011391291086184956,1.4348521508133414,0.054346938924159614,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,301318059097.5826,8869565978.575342,0.019224804032775853,0.011147173942673392
2,anchored_correction_uq,anchored_correction_uq,0.5992049797227312,0.002782647796446369,0.7723218777598563,0.005449695421568995,1.3977767710289095,0.033985186471749,0.07894736842105263,0.045580284409707295,0.093206993928751,0.026688640277109876,0.635039254385965,0.010049508102973287,913.2166939064509,523.703233870562,0.38635566659950205,0.02843325501374222
2,fixed_pinn,fixed_gompertz_lambda=10,0.6065295498752804,0.003878115288148529,0.7619806684634303,0.0032534400310678213,1.429361244480354,0.14259335963833364,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,290310797833.77,2477508359.7312403,0.0064270311500653375,0.004238902814892783
2,no_physics,plain_mlp,0.6122632673533078,0.007900006391281056,0.7561303527855401,0.004472299352514252,1.400599488401632,0.09007971195445566,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,285873222342.729,3383150412.1011295,0.3374019957507819,0.07317115803948028
