m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,adaptive_pinn,uncertainty_adaptive_beta=5,0.7780563466908387,0.0012294359559390053,0.9627550727975743,0.0005264661116825476,0.9958809643983292,0.015259494007808794,0.017543859649122806,0.030386856273138196,0.05874511276049082,0.00428171562226027,0.654776096491228,0.020890963687782472,2225.4562118386216,339.48715385100184,0.007130077136463203,0.001960229481722836
1,fixed_pinn,fixed_gompertz_lambda=10,0.7781041411584929,0.00402290648887981,0.9641613707081328,0.002386061967550134,1.0217411800014096,0.007004709162952407,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,464805472133.9004,2299331276.189147,0.0035356314563675956,0.003434497284682862
1,no_physics,plain_mlp,0.7769748709376967,0.0023050876343148146,0.9643459446689286,0.0034402603689059463,1.009895732391718,0.029282916226787338,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,464985495617.2762,3320809125.299076,0.07546250998407539,0.018405974583507696
1,physics_feature_fusion,physics_feature_fusion,0.7735153718344998,0.0006625014585186228,0.9704202710731059,0.001683002707747688,1.0538438326416981,0.008416154949794943,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,470858695407.94165,1632949769.5832763,0.08492125706534281,0.05965341860899718
1,physics_feature_fusion,physics_feature_fusion_pinn_lambda=1,0.7756167503171846,0.0015643442815802093,0.9660839981573147,0.0026082858872866566,1.0271487564406823,0.01987280737168915,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,466661413453.3379,2518562696.0635343,0.008907969114640127,0.004727676519180648
1,physics_feature_fusion_uq,physics_feature_fusion_uq,0.7770644540729394,0.00044017158847506485,0.9638357307319233,0.001260057116394152,1.0108757317511996,0.005625216718997909,0.0,0.0,0.05653149531388312,0.002058758276659086,0.6668375000000001,0.0,2320.082282125976,225.94338423555973,0.04388543978854124,0.05195247281717708
2,adaptive_pinn,uncertainty_adaptive_beta=5,0.607456032368426,0.005041942410403669,0.7643025107342277,0.005761159614082614,1.3441308981823232,0.028537093693839832,0.10526315789473684,0.045580284409707295,0.24985128216132194,0.030752675731424175,0.5889866228070176,0.026384231174377118,85.22837663205924,30.550761135469727,0.008458318623372176,0.0017393210093793448
2,fixed_pinn,fixed_gompertz_lambda=10,0.6055722994108995,0.006449437601525749,0.7585246787431101,0.001068778667096097,1.4833808401537742,0.09551751828539178,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,287680224880.8858,810757267.8121628,0.015081519274421813,0.004318735593601781
2,no_physics,plain_mlp,0.6054744938421145,0.0034863577617544766,0.7581929489250303,0.00642103715942129,1.3993303231312055,0.09481827644063572,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,287442017126.3212,4869613810.181424,0.34097039657246314,0.04496167458551305
2,physics_feature_fusion,physics_feature_fusion,0.6013120079102615,0.0027441093943755446,0.780492535423615,0.003187256222189525,1.404162110087243,0.034006355221006035,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,304587685113.83685,2487896735.5986776,0.3915511238947303,0.04437160730210126
