m,method,variant,residual_group,n,rmse,picp,mpiw,ece,nll,physics_residual_abs,error_width_corr
1,fixed_pinn_lambda_10_uq,calibrated,high,13.0,0.9103101246041264,1.0,6.338561450011837,0.17611121794871798,1.563731328449346,0.0053235102341306064,0.012255351769902473
1,fixed_pinn_lambda_10_uq,calibrated,low,13.0,0.9611976684883996,1.0,6.3395774443968165,0.16008557692307698,1.5796293588763788,0.002304203584381294,-0.29669105148851815
1,fixed_pinn_lambda_10_uq,calibrated,mid,12.0,0.987971016505841,1.0,6.338405128614653,0.15394305555555557,1.589361860581139,0.003564821575626215,0.1689492231613192
1,no_physics_uq,calibrated,high,13.0,0.8663123824201621,1.0,6.356264424650427,0.19213685897435898,1.5457484016653442,0.06992063326251781,-0.02419883238011522
1,no_physics_uq,calibrated,low,13.0,0.9836364539451519,1.0,6.3552144474463335,0.16371506410256412,1.5913402568301491,0.04376105184271651,0.007838720608402244
1,no_physics_uq,calibrated,mid,12.0,1.0140943085547816,1.0,6.35535884312008,0.13658194444444446,1.60449127391927,0.0596426493307927,-0.13039575660592495
1,fixed_pinn_lambda_10_uq,raw,high,13.0,0.9103101246041264,0.0,0.03313596938283015,0.6668375000000001,6173.295132981133,0.0053235102341306064,0.012255351769932213
1,fixed_pinn_lambda_10_uq,raw,low,13.0,0.9611976684883996,0.0,0.03415196376781051,0.6668375000000001,6841.433355083468,0.002304203584381294,-0.29669105148852914
1,fixed_pinn_lambda_10_uq,raw,mid,12.0,0.987971016505841,0.0,0.0329796479856466,0.6668375000000001,6920.443158095503,0.003564821575626215,0.16894922316131047
1,no_physics_uq,raw,high,13.0,0.8663123824201621,0.0,0.05084557612469489,0.6668375000000001,2360.5297407616094,0.06992063326251781,-0.02419883238013319
1,no_physics_uq,raw,low,13.0,0.9836364539451519,0.0,0.04979559892060187,0.6668375000000001,3511.9869626296786,0.04376105184271651,0.00783872060841763
1,no_physics_uq,raw,mid,12.0,1.0140943085547816,0.0,0.04993999459434741,0.6668375000000001,4054.5347325337602,0.0596426493307927,-0.13039575660594035
2,fixed_pinn_lambda_10_uq,calibrated,high,13.0,0.651142727701007,1.0,3.491676208004654,0.12038750000000002,1.0746167858266347,0.007999496065148397,0.09389701221335872
2,fixed_pinn_lambda_10_uq,calibrated,low,13.0,0.888306276304711,0.9743589743589745,3.478427825992903,0.057937499999999975,1.3011990803028872,0.002556043904925385,0.1333992315185252
2,fixed_pinn_lambda_10_uq,calibrated,mid,12.0,0.7242145493307278,0.9722222222222222,3.4651662671382333,0.12101250000000001,1.1533354491424042,0.0048667631319012205,0.04080769773028656
2,no_physics_uq,calibrated,high,13.0,0.8469255294997495,1.0,3.624517351159682,0.05589070512820513,1.2533954296758403,0.6363950308970864,0.45563399674023936
2,no_physics_uq,calibrated,low,13.0,0.7339457242978734,1.0,3.478693903733689,0.0712169871794872,1.1449872685695313,0.09781027543593573,-0.1390722090196049
2,no_physics_uq,calibrated,mid,12.0,0.7537983979458404,0.9444444444444443,3.532510828826991,0.11587083333333335,1.1652037698614388,0.31564802348614873,0.27377131626999707
2,fixed_pinn_lambda_10_uq,raw,high,13.0,0.651142727701007,0.17948717948717952,0.26147543502380494,0.5514528846153847,65.46186399938453,0.007999496065148397,0.09389701221335862
2,fixed_pinn_lambda_10_uq,raw,low,13.0,0.888306276304711,0.15384615384615385,0.24822705301205414,0.573888782051282,125.73186335324912,0.002556043904925385,0.13339923151852504
