"panel","group","m","rmse","ci95_low","ci95_high"
"A","pooled test",1,0.966168445101681,0.847111565840919,1.07055252509312
"A","pooled test",2,0.757801126707645,0.664692444473467,0.824041895529648
"A","pooled test",3,0.53614173485448,0.445538665563783,0.609282887517853
"A","pooled test",4,0.425312349901794,0.366781780522161,0.486156070323067
"B","chest/lung",1,1.13533134808723,0.927971196175065,1.28824164517075
"B","abdomen/liver",1,0.771378621437734,0.535926073179477,0.931911122309977
"B","other",1,0.853255206397558,0.6602573200904,1.01800348356102
"B","chest/lung",2,0.803020668662223,0.647984014502524,0.919944983994489
"B","abdomen/liver",2,0.774990412775358,0.571527540482985,0.882751597712561
"B","other",2,0.617569220893646,0.497065665896535,0.705877804256442
"B","chest/lung",3,0.585348763167929,0.47039936036401,0.703400401275195
"B","abdomen/liver",3,0.557683858213792,0.370756119643433,0.659830768693788
"B","other",3,0.363095651090386,0.279339664368496,0.437773363901405
"B","chest/lung",4,0.449566432007566,0.37183227705722,0.521991991179773
"B","abdomen/liver",4,0.275024408834297,0.245413058204785,0.300088843804576
"B","other",4,0.553891855271505,0.364639427205017,0.698032763474872
