m,method,N_test,rmse,rmse_ci95_low,rmse_ci95_high,mae,mae_ci95_low,mae_ci95_high,RMSE_95CI,MAE_95CI,applicability,selected_hyperparameter
1,Training-set mean target,38,0.9648279551126454,0.7653280559841823,1.14889432169982,0.7761809956567912,0.6041246903369711,0.9602229420966888,0.9648 (0.7653-1.1489),0.7762 (0.6041-0.9602),Population baseline; uses no individualized longitudinal change.,mean=-0.029884
1,Training-set median target,38,0.9617697044934305,0.7586023626680546,1.1536166181008087,0.779141971256327,0.6112683513951683,0.9625766204271407,0.9618 (0.7586-1.1536),0.7791 (0.6113-0.9626),Population baseline; robust cohort-prior prediction.,median=0.026375
1,LOCF,38,0.9627954249594772,0.7577163885567082,1.1602357915777852,0.7777538334780632,0.6043798473675861,0.9692251148909243,0.9628 (0.7577-1.1602),0.7778 (0.6044-0.9692),Last observation carried forward; for m=1 this equals the zero-change baseline.,
1,Ridge trajectory regression,38,0.9648279551126454,0.7645930512308203,1.1642613527492256,0.7761809956567912,0.608829101041146,0.9744406419250877,0.9648 (0.7646-1.1643),0.7762 (0.6088-0.9744),Validation-tuned linear regression on simple trajectory features.,alpha=0.001
2,Training-set mean target,38,0.9648279551126454,0.7542670661910277,1.1629513643109834,0.7761809956567912,0.5941933089458385,0.9702980681867325,0.9648 (0.7543-1.1630),0.7762 (0.5942-0.9703),Population baseline; uses no individualized longitudinal change.,mean=-0.029884
2,Training-set median target,38,0.9617697044934305,0.7517006082159299,1.1503360364028983,0.779141971256327,0.6030241939939608,0.9553612951704428,0.9618 (0.7517-1.1503),0.7791 (0.6030-0.9554),Population baseline; robust cohort-prior prediction.,median=0.026375
2,LOCF,38,0.7590149944992222,0.5927572959339624,0.9125504717806866,0.598707574524478,0.4566744606429986,0.751680049094189,0.7590 (0.5928-0.9126),0.5987 (0.4567-0.7517),Last observation carried forward; for m=1 this equals the zero-change baseline.,
2,Ridge trajectory regression,38,0.7585264440144175,0.5951997936872322,0.9073019291792848,0.6106252682873166,0.4722837228853967,0.7568802999579959,0.7585 (0.5952-0.9073),0.6106 (0.4723-0.7569),Validation-tuned linear regression on simple trajectory features.,alpha=0.001
2,Least-squares linear extrapolation,38,2.0426376663266903,1.547851732520094,2.5291318538210663,1.529240154697815,1.1321919799606026,1.9897102924159376,2.0426 (1.5479-2.5291),1.5292 (1.1322-1.9897),Fits a linear trend to all observed points and extrapolates to T4.,
2,Recent-two linear extrapolation,38,2.0426376663266903,1.5350599493658617,2.527608906047902,1.529240154697815,1.1129353478891613,1.9837007636939443,2.0426 (1.5351-2.5276),1.5292 (1.1129-1.9837),Uses the two most recent observed points to estimate the slope.,
2,Gaussian process regression,38,0.7814509955651348,0.5893383076371368,0.9607841775298596,0.5835561269358811,0.4246262834483935,0.7593699278306094,0.7815 (0.5893-0.9608),0.5836 (0.4246-0.7594),Per-trajectory RBF Gaussian process; length scale and noise selected on validation set.,length_scale=4; noise=0.05
3,Training-set mean target,38,0.9648279551126454,0.7518569685366722,1.1561268104705316,0.7761809956567912,0.5971901666214056,0.9576305902721644,0.9648 (0.7519-1.1561),0.7762 (0.5972-0.9576),Population baseline; uses no individualized longitudinal change.,mean=-0.029884
3,Training-set median target,38,0.9617697044934305,0.7593889113047594,1.1612849003439314,0.779141971256327,0.6042899373792117,0.9662930067485297,0.9618 (0.7594-1.1613),0.7791 (0.6043-0.9663),Population baseline; robust cohort-prior prediction.,median=0.026375
3,LOCF,38,0.5056675855152925,0.38645371728874156,0.6161859378294814,0.3991774351342666,0.3010966592720756,0.5027797910495312,0.5057 (0.3865-0.6162),0.3992 (0.3011-0.5028),Last observation carried forward; for m=1 this equals the zero-change baseline.,
3,Ridge trajectory regression,38,0.5327623889116279,0.4116031566086875,0.6469533139661958,0.418387806196984,0.32061030821324793,0.5285222684683613,0.5328 (0.4116-0.6470),0.4184 (0.3206-0.5285),Validation-tuned linear regression on simple trajectory features.,alpha=0.001
3,Least-squares linear extrapolation,38,0.7525079348928626,0.5420631598662865,0.9605118545336389,0.5419878133279787,0.3867937609150389,0.7161019653982525,0.7525 (0.5421-0.9605),0.5420 (0.3868-0.7161),Fits a linear trend to all observed points and extrapolates to T4.,
3,Recent-two linear extrapolation,38,1.028828646040653,0.8231130313458194,1.219664079596225,0.8522441643461094,0.6791460376934729,1.0360769213132575,1.0288 (0.8231-1.2197),0.8522 (0.6791-1.0361),Uses the two most recent observed points to estimate the slope.,
3,Gaussian process regression,38,0.4839145502076851,0.34042102513030614,0.6220529971402308,0.3434580069279129,0.23798291721749407,0.4578709772070055,0.4839 (0.3404-0.6221),0.3435 (0.2380-0.4579),Per-trajectory RBF Gaussian process; length scale and noise selected on validation set.,length_scale=4; noise=0.05
3,Gompertz curve fit,38,0.7815344948577787,0.5742703056197654,0.9804825029364822,0.5964651552920658,0.44378721039349994,0.758481208758201,0.7815 (0.5743-0.9805),0.5965 (0.4438-0.7585),Parametric growth-curve baseline; only evaluated when at least three visits are observed.,
3,Logistic curve fit,38,0.7828799639153128,0.5707384437940164,0.9864635293184922,0.5941357688690729,0.4449525313437604,0.7570441539352715,0.7829 (0.5707-0.9865),0.5941 (0.4450-0.7570),Parametric growth-curve baseline; only evaluated when at least three visits are observed.,
4,Training-set mean target,38,0.9648279551126454,0.7641550390012471,1.1529342305600598,0.7761809956567912,0.6066819172690558,0.9523753158732388,0.9648 (0.7642-1.1529),0.7762 (0.6067-0.9524),Population baseline; uses no individualized longitudinal change.,mean=-0.029884
4,Training-set median target,38,0.9617697044934305,0.7614727993577101,1.1420192420554833,0.779141971256327,0.6086807406033099,0.9572189580848801,0.9618 (0.7615-1.1420),0.7791 (0.6087-0.9572),Population baseline; robust cohort-prior prediction.,median=0.026375
