Method,m=1 RMSE (95% bootstrap CI),m=2 RMSE (95% bootstrap CI),m=3 RMSE (95% bootstrap CI),m=4 RMSE (95% bootstrap CI)
Gaussian process regression,,0.7815 (0.5893-0.9608),0.4839 (0.3404-0.6221),0.3867 (0.3013-0.4751)
Gompertz curve fit,,,0.7815 (0.5743-0.9805),0.7076 (0.4867-0.9290)
LOCF,0.9628 (0.7577-1.1602),0.7590 (0.5928-0.9126),0.5057 (0.3865-0.6162),0.4530 (0.3417-0.5695)
Least-squares linear extrapolation,,2.0426 (1.5479-2.5291),0.7525 (0.5421-0.9605),0.4191 (0.3385-0.4971)
Logistic curve fit,,,0.7829 (0.5707-0.9865),0.7156 (0.4839-0.9162)
Recent-two linear extrapolation,,2.0426 (1.5351-2.5276),1.0288 (0.8231-1.2197),0.8496 (0.6246-1.0654)
Ridge trajectory regression,0.9648 (0.7646-1.1643),0.7585 (0.5952-0.9073),0.5328 (0.4116-0.6470),0.4352 (0.3357-0.5318)
Training-set mean target,0.9648 (0.7653-1.1489),0.9648 (0.7543-1.1630),0.9648 (0.7519-1.1561),0.9648 (0.7642-1.1529)
Training-set median target,0.9618 (0.7586-1.1536),0.9618 (0.7517-1.1503),0.9618 (0.7594-1.1613),0.9618 (0.7615-1.1420)
