m,method,calibration_type,alpha,nominal_coverage,n_val,n_calibration_patients,n_test,finite_sample_quantile_level,finite_sample_quantile_rank,n_repeats,q_score_mean,q_score_ci95_half,Q_SCORE,raw_picp_mean,raw_picp_ci95_half,RAW_PICP,raw_mpiw_mean,raw_mpiw_ci95_half,RAW_MPIW,calibrated_picp_mean,calibrated_picp_ci95_half,CALIBRATED_PICP,calibrated_mpiw_mean,calibrated_mpiw_ci95_half,CALIBRATED_MPIW,calibrated_ece_mean,calibrated_ece_ci95_half,CALIBRATED_ECE,calibrated_nll_mean,calibrated_nll_ci95_half,CALIBRATED_NLL,picp_wilson95_low_mean,picp_wilson95_low_ci95_half,PICP_WILSON95_LOW,picp_wilson95_high_mean,picp_wilson95_high_ci95_half,PICP_WILSON95_HIGH,picp_patient_cluster_bootstrap95_low_mean,picp_patient_cluster_bootstrap95_low_ci95_half,PICP_PATIENT_CLUSTER_BOOTSTRAP95_LOW,picp_patient_cluster_bootstrap95_high_mean,picp_patient_cluster_bootstrap95_high_ci95_half,PICP_PATIENT_CLUSTER_BOOTSTRAP95_HIGH
1,Deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,10,1.110190349817276,0.03584331750778144,1.1102 +/- 0.0358,,,N/A,,,N/A,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.220380699634552,0.07168663501556288,2.2204 +/- 0.0717,,,N/A,,,N/A,0.8650512388404789,7.253457094217689e-17,0.8651 +/- 0.0000,0.995339412314231,1.4506914188435379e-16,0.9953 +/- 0.0000,0.9067998533724341,0.0011379006097595758,0.9068 +/- 0.0011,1.0,0.0,1.0000 +/- 0.0000
1,Deterministic,absolute_residual,0.05,0.95,27,19,38,1.0,19,10,1.5303868800401685,0.05575556107808117,1.5304 +/- 0.0558,,,N/A,,,N/A,1.0,0.0,1.0000 +/- 0.0000,3.0607737600803375,0.11151112215616234,3.0608 +/- 0.1115,,,N/A,,,N/A,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999998,7.253457094217689e-17,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000
1,Cohort-level Feature GP,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,10,1.7856290749304378,1.3224818222265222e-07,1.7856 +/- 0.0000,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4752545547587586,1.634040096282679e-07,2.4753 +/- 0.0000,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.2550855708036908,2.3889162693062238e-08,2.2551 +/- 0.0000,,,N/A,,,N/A,0.8650512388404789,7.253457094217689e-17,0.8651 +/- 0.0000,0.995339412314231,1.4506914188435379e-16,0.9953 +/- 0.0000,0.9074555773683681,0.0009590387845353866,0.9075 +/- 0.0010,1.0,0.0,1.0000 +/- 0.0000
1,Cohort-level Feature GP,normalized_residual,0.05,0.95,27,19,38,1.0,19,10,2.3693037547805305,1.4331264858893994e-07,2.3693 +/- 0.0000,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4752545547587586,1.634040096282679e-07,2.4753 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,2.9922131002849714,2.8016693852072317e-08,2.9922 +/- 0.0000,,,N/A,,,N/A,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999998,7.253457094217689e-17,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000
1,MC Dropout,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,10,1.8150449322221411,0.05856202905578803,1.8150 +/- 0.0586,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.461595934360171,0.020617718375568212,2.4616 +/- 0.0206,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.2793219287488844,0.07227783359582693,2.2793 +/- 0.0723,,,N/A,,,N/A,0.8650512388404789,7.253457094217689e-17,0.8651 +/- 0.0000,0.995339412314231,1.4506914188435379e-16,0.9953 +/- 0.0000,0.9080831830618081,0.0011343520891218864,0.9081 +/- 0.0011,1.0,0.0,1.0000 +/- 0.0000
1,MC Dropout,normalized_residual,0.05,0.95,27,19,38,1.0,19,10,2.5243871159100553,0.08392667946722752,2.5244 +/- 0.0839,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.461595934360171,0.020617718375568212,2.4616 +/- 0.0206,1.0,0.0,1.0000 +/- 0.0000,3.1701518896784484,0.10389225881369016,3.1702 +/- 0.1039,,,N/A,,,N/A,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999998,7.253457094217689e-17,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000
1,Deep Ensemble,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,10,1.8089775075054937,0.020397796753475105,1.8090 +/- 0.0204,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4338068095462906,0.018466655205049365,2.4338 +/- 0.0185,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.24624715980243,0.02832956781379587,2.2462 +/- 0.0283,,,N/A,,,N/A,0.8650512388404789,7.253457094217689e-17,0.8651 +/- 0.0000,0.995339412314231,1.4506914188435379e-16,0.9953 +/- 0.0000,0.9076704545454545,0.0009280303030302931,0.9077 +/- 0.0009,1.0,0.0,1.0000 +/- 0.0000
1,Deep Ensemble,normalized_residual,0.05,0.95,27,19,38,1.0,19,10,2.50388299161364,0.04671094705768567,2.5039 +/- 0.0467,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4338068095462906,0.018466655205049365,2.4338 +/- 0.0185,1.0,0.0,1.0000 +/- 0.0000,3.1089904558593964,0.057654785466718476,3.1090 +/- 0.0577,,,N/A,,,N/A,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999998,7.253457094217689e-17,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000
1,Gaussian residual-scale,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,10,1.8372705385627968,0.0438346729397387,1.8373 +/- 0.0438,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4493827338333607,0.005404150246844473,2.4494 +/- 0.0054,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.2960618436336517,0.05513810712382016,2.2961 +/- 0.0551,,,N/A,,,N/A,0.8650512388404789,7.253457094217689e-17,0.8651 +/- 0.0000,0.995339412314231,1.4506914188435379e-16,0.9953 +/- 0.0000,0.9085068710359406,0.000737396153497074,0.9085 +/- 0.0007,1.0,0.0,1.0000 +/- 0.0000
1,Gaussian residual-scale,normalized_residual,0.05,0.95,27,19,38,1.0,19,10,2.478848076115215,0.06447736943836564,2.4788 +/- 0.0645,0.9736842105263157,7.253457094217689e-17,0.9737 +/- 0.0000,2.4493827338333607,0.005404150246844473,2.4494 +/- 0.0054,1.0,0.0,1.0000 +/- 0.0000,3.097970098257065,0.08317043394023242,3.0980 +/- 0.0832,,,N/A,,,N/A,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999998,7.253457094217689e-17,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000
