"m","method","calibration_type","alpha","nominal_coverage","n_val","n_calibration_patients","n_test","finite_sample_quantile_level","finite_sample_quantile_rank","n_repeats","q_score_mean","q_score_ci95_half","Q_SCORE","raw_picp_mean","raw_picp_ci95_half","RAW_PICP","raw_mpiw_mean","raw_mpiw_ci95_half","RAW_MPIW","calibrated_picp_mean","calibrated_picp_ci95_half","CALIBRATED_PICP","calibrated_mpiw_mean","calibrated_mpiw_ci95_half","CALIBRATED_MPIW","calibrated_ece_mean","calibrated_ece_ci95_half","CALIBRATED_ECE","calibrated_nll_mean","calibrated_nll_ci95_half","CALIBRATED_NLL","picp_wilson95_low_mean","picp_wilson95_low_ci95_half","PICP_WILSON95_LOW","picp_wilson95_high_mean","picp_wilson95_high_ci95_half","PICP_WILSON95_HIGH","picp_patient_cluster_bootstrap95_low_mean","picp_patient_cluster_bootstrap95_low_ci95_half","PICP_PATIENT_CLUSTER_BOOTSTRAP95_LOW","picp_patient_cluster_bootstrap95_high_mean","picp_patient_cluster_bootstrap95_high_ci95_half","PICP_PATIENT_CLUSTER_BOOTSTRAP95_HIGH","target"
4,"Deterministic","absolute_residual",0.05,0.95,27,19,38,1,19,10,1.46686134040356,0.0472001002258989,"1.4669 +/- 0.0472",NA,NA,"N/A",NA,NA,"N/A",1,0,"1.0000 +/- 0.0000",2.93372268080711,0.0944002004517977,"2.9337 +/- 0.0944",NA,NA,"N/A",NA,NA,"N/A",0.908190131774416,0,"0.9082 +/- 0.0000",1,7.25345709421769e-17,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000","95% target"
4,"Deterministic","absolute_residual",0.1,0.9,27,19,38,0.947368421052632,18,10,1.12367770075798,0.0282234459344006,"1.1237 +/- 0.0282",NA,NA,"N/A",NA,NA,"N/A",0.978947368421053,0.00687719298245613,"0.9789 +/- 0.0069",2.24735540151596,0.0564468918688011,"2.2474 +/- 0.0564",NA,NA,"N/A",NA,NA,"N/A",0.873679017427266,0.0112736306867356,"0.8737 +/- 0.0113",0.996271529851385,0.00121796691521422,"0.9963 +/- 0.0012",0.926511722906217,0.0240298425708542,"0.9265 +/- 0.0240",1,0,"1.0000 +/- 0.0000","90% target"
4,"Cohort-level Feature GP","normalized_residual",0.05,0.95,27,19,38,1,19,10,2.34119583783137,2.43965172085598e-08,"2.3412 +/- 0.0000",0.973684210526316,7.25345709421769e-17,"0.9737 +/- 0.0000",2.47157002021848,2.52195432048115e-08,"2.4716 +/- 0.0000",1,0,"1.0000 +/- 0.0000",2.95231416999849,3.20320312348654e-08,"2.9523 +/- 0.0000",NA,NA,"N/A",NA,NA,"N/A",0.908190131774416,0,"0.9082 +/- 0.0000",1,7.25345709421769e-17,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000","95% target"
4,"Cohort-level Feature GP","normalized_residual",0.1,0.9,27,19,38,0.947368421052632,18,10,1.76671745942275,2.23787505508442e-08,"1.7667 +/- 0.0000",0.973684210526316,7.25345709421769e-17,"0.9737 +/- 0.0000",2.47157002021848,2.52195432048115e-08,"2.4716 +/- 0.0000",0.973684210526316,7.25345709421769e-17,"0.9737 +/- 0.0000",2.22788068625176,2.63273677223971e-08,"2.2279 +/- 0.0000",NA,NA,"N/A",NA,NA,"N/A",0.865051238840479,7.25345709421769e-17,"0.8651 +/- 0.0000",0.995339412314231,1.45069141884354e-16,"0.9953 +/- 0.0000",0.907791324860436,0.00106159994064341,"0.9078 +/- 0.0011",1,0,"1.0000 +/- 0.0000","90% target"
4,"MC Dropout","normalized_residual",0.05,0.95,27,19,38,1,19,10,2.42974298826463,0.0773849185257762,"2.4297 +/- 0.0774",0.981578947368421,0.00787881435273108,"0.9816 +/- 0.0079",2.38283713220213,0.0516515635228825,"2.3828 +/- 0.0517",1,0,"1.0000 +/- 0.0000",2.95118400983411,0.0755694992060371,"2.9512 +/- 0.0756",NA,NA,"N/A",NA,NA,"N/A",0.908190131774416,0,"0.9082 +/- 0.0000",1,7.25345709421769e-17,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000","95% target"
4,"MC Dropout","normalized_residual",0.1,0.9,27,19,38,0.947368421052632,18,10,1.90432410432902,0.0704233356742257,"1.9043 +/- 0.0704",0.981578947368421,0.00787881435273108,"0.9816 +/- 0.0079",2.38283713220213,0.0516515635228825,"2.3828 +/- 0.0517",0.976315789473684,0.0051578947368421,"0.9763 +/- 0.0052",2.31270038435544,0.071823148334499,"2.3127 +/- 0.0718",NA,NA,"N/A",NA,NA,"N/A",0.869365128133872,0.0084552230150517,"0.8694 +/- 0.0085",0.995805471082808,0.000913475186410668,"0.9958 +/- 0.0009",0.916458944281525,0.0182328769504657,"0.9165 +/- 0.0182",1,0,"1.0000 +/- 0.0000","90% target"
4,"Deep Ensemble","normalized_residual",0.05,0.95,27,19,38,1,19,10,2.40952173250557,0.0286197101976415,"2.4095 +/- 0.0286",0.981578947368421,0.00787881435273108,"0.9816 +/- 0.0079",2.28569911402694,0.0301093833675496,"2.2857 +/- 0.0301",1,0,"1.0000 +/- 0.0000",2.80915590126455,0.0230775462114468,"2.8092 +/- 0.0231",NA,NA,"N/A",NA,NA,"N/A",0.908190131774416,0,"0.9082 +/- 0.0000",1,7.25345709421769e-17,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000","95% target"
4,"Deep Ensemble","normalized_residual",0.1,0.9,27,19,38,0.947368421052632,18,10,1.91800104666655,0.0343941449033279,"1.9180 +/- 0.0344",0.981578947368421,0.00787881435273108,"0.9816 +/- 0.0079",2.28569911402694,0.0301093833675496,"2.2857 +/- 0.0301",0.973684210526316,7.25345709421769e-17,"0.9737 +/- 0.0000",2.23587899015959,0.0278388319893516,"2.2359 +/- 0.0278",NA,NA,"N/A",NA,NA,"N/A",0.865051238840479,7.25345709421769e-17,"0.8651 +/- 0.0000",0.995339412314231,1.45069141884354e-16,"0.9953 +/- 0.0000",0.907298333816409,0.0011681900058871,"0.9073 +/- 0.0012",1,0,"1.0000 +/- 0.0000","90% target"
4,"Gaussian residual-scale","normalized_residual",0.05,0.95,27,19,38,1,19,10,2.37189853087497,0.0973737622244196,"2.3719 +/- 0.0974",0.989473684210526,0.00842280683483337,"0.9895 +/- 0.0084",2.42282001254235,0.0058020543036016,"2.4228 +/- 0.0058",1,0,"1.0000 +/- 0.0000",2.93182675242424,0.118410457585046,"2.9318 +/- 0.1184",NA,NA,"N/A",NA,NA,"N/A",0.908190131774416,0,"0.9082 +/- 0.0000",1,7.25345709421769e-17,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000",1,0,"1.0000 +/- 0.0000","95% target"
4,"Gaussian residual-scale","normalized_residual",0.1,0.9,27,19,38,0.947368421052632,18,10,1.84708130473117,0.0563295210520713,"1.8471 +/- 0.0563",0.989473684210526,0.00842280683483337,"0.9895 +/- 0.0084",2.42282001254235,0.0058020543036016,"2.4228 +/- 0.0058",0.981578947368421,0.00787881435273108,"0.9816 +/- 0.0079",2.28337785005569,0.0713159283285613,"2.2834 +/- 0.0713",NA,NA,"N/A",NA,NA,"N/A",0.87799290672066,0.0129155664947357,"0.8780 +/- 0.0129",0.996737588619962,0.00139535639573026,"0.9967 +/- 0.0014",0.935795454545454,0.027469696969697,"0.9358 +/- 0.0275",1,0,"1.0000 +/- 0.0000","90% target"
