repeat,m,seed,optimized_kernel,log_marginal_likelihood
1,1,51,"2.23**2 * RBF(length_scale=[0.0427, 4.26, 2.29]) + WhiteKernel(noise_level=0.279)",-116.81954895638633
1,2,52,"2.17**2 * RBF(length_scale=[83.5, 1.21, 29.4, 4.29, 11.5]) + WhiteKernel(noise_level=0.277)",-116.66882466914316
1,3,53,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
1,4,54,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
2,1,91051,"2.23**2 * RBF(length_scale=[1, 4.26, 1]) + WhiteKernel(noise_level=0.279)",-116.81954895639777
2,2,91052,"2.17**2 * RBF(length_scale=[11.5, 0.13, 29.4, 4.29, 0.143]) + WhiteKernel(noise_level=0.277)",-116.6688246691409
2,3,91053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
2,4,91054,"2.11**2 * RBF(length_scale=[9.93, 2.59, 0.471, 2.42, 0.884, 100, 28.8, 4.23, 0.0193]) + WhiteKernel(noise_level=0.277)",-116.72312554908027
3,1,182051,"2.23**2 * RBF(length_scale=[8.03, 4.26, 1.78]) + WhiteKernel(noise_level=0.279)",-116.81954895638656
3,2,182052,"2.17**2 * RBF(length_scale=[1.01, 42, 29.4, 4.29, 59.1]) + WhiteKernel(noise_level=0.277)",-116.66882466916228
3,3,182053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
3,4,182054,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
4,1,273051,"2.23**2 * RBF(length_scale=[0.121, 4.26, 0.0898]) + WhiteKernel(noise_level=0.279)",-116.81954895638654
4,2,273052,"2.17**2 * RBF(length_scale=[1.38, 0.165, 29.4, 4.29, 0.686]) + WhiteKernel(noise_level=0.277)",-116.66882466949153
4,3,273053,"2.11**2 * RBF(length_scale=[0.501, 46.7, 1.37, 100, 28.8, 4.23, 4.17]) + WhiteKernel(noise_level=0.277)",-116.72312554907953
4,4,273054,"2.11**2 * RBF(length_scale=[0.661, 24.3, 73.3, 46.7, 0.139, 100, 28.8, 4.23, 0.318]) + WhiteKernel(noise_level=0.277)",-116.7231255490803
5,1,364051,"2.23**2 * RBF(length_scale=[0.0771, 4.26, 24.1]) + WhiteKernel(noise_level=0.279)",-116.8195489563865
5,2,364052,"2.17**2 * RBF(length_scale=[0.779, 23.4, 29.4, 4.29, 0.031]) + WhiteKernel(noise_level=0.277)",-116.66882466915288
5,3,364053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
5,4,364054,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
6,1,455051,"2.23**2 * RBF(length_scale=[22.4, 4.26, 0.589]) + WhiteKernel(noise_level=0.279)",-116.8195489563881
6,2,455052,"2.17**2 * RBF(length_scale=[0.0363, 0.0402, 29.4, 4.29, 5.82]) + WhiteKernel(noise_level=0.277)",-116.66882466914113
6,3,455053,"2.11**2 * RBF(length_scale=[0.0315, 0.574, 22.3, 100, 28.8, 4.23, 0.096]) + WhiteKernel(noise_level=0.277)",-116.72312554907765
6,4,455054,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
7,1,546051,"2.23**2 * RBF(length_scale=[0.0149, 4.26, 0.33]) + WhiteKernel(noise_level=0.279)",-116.81954895638798
7,2,546052,"2.17**2 * RBF(length_scale=[33.1, 2.58, 29.4, 4.29, 5.71]) + WhiteKernel(noise_level=0.277)",-116.66882467009515
7,3,546053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
7,4,546054,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
8,1,637051,"2.23**2 * RBF(length_scale=[0.946, 4.26, 0.173]) + WhiteKernel(noise_level=0.279)",-116.81954895638653
8,2,637052,"2.17**2 * RBF(length_scale=[0.0236, 0.0289, 29.4, 4.29, 0.0762]) + WhiteKernel(noise_level=0.277)",-116.66882466924378
8,3,637053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
8,4,637054,"2.11**2 * RBF(length_scale=[1, 1, 1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
9,1,728051,"2.23**2 * RBF(length_scale=[1, 4.26, 1]) + WhiteKernel(noise_level=0.279)",-116.81954895639777
9,2,728052,"2.17**2 * RBF(length_scale=[4.44, 14.7, 29.4, 4.29, 8.72]) + WhiteKernel(noise_level=0.277)",-116.66882466914359
9,3,728053,"2.11**2 * RBF(length_scale=[1, 1, 1, 100, 28.8, 4.23, 1]) + WhiteKernel(noise_level=0.277)",-116.72312554908078
9,4,728054,"2.11**2 * RBF(length_scale=[0.249, 11.6, 3.02, 4.93, 2.03, 100, 28.8, 4.23, 86.8]) + WhiteKernel(noise_level=0.277)",-116.7231255490806
10,1,819051,"2.23**2 * RBF(length_scale=[0.386, 4.26, 3.82]) + WhiteKernel(noise_level=0.279)",-116.81954895638944
10,2,819052,"2.17**2 * RBF(length_scale=[0.0594, 39, 29.4, 4.29, 99.5]) + WhiteKernel(noise_level=0.277)",-116.6688246695272
