dropout,samples,rmse,picp,mpiw,ece,nll
0.05,30,0.42918595004107896,0.2631578947368421,0.24576249618426357,0.5138769736842105,29.051631728933963
0.05,50,0.4316941228551072,0.2894736842105263,0.2634734241120321,0.5089427631578947,25.541432421435644
0.05,100,0.4301784049040504,0.2763157894736842,0.272986317598751,0.4990743421052632,20.366392333871836
0.1,30,0.43437387235238134,0.23684210526315788,0.28070539369333625,0.5385480263157896,22.37836495051878
0.1,50,0.4373159498842849,0.23684210526315788,0.2932805164135061,0.535258552631579,20.008809858204135
0.1,100,0.43591236192844846,0.2763157894736842,0.3058036677349407,0.5237453947368421,19.003202123181193
0.2,30,0.43890509348121715,0.32894736842105265,0.3877668484953526,0.4809822368421053,12.125429401465942
0.2,50,0.4370981774007632,0.39473684210526316,0.4184390088396245,0.4563111842105263,10.516297016795145
0.2,100,0.4368908719265604,0.39473684210526316,0.4394605477377281,0.4513769736842105,9.40949604908166
0.3,30,0.45095770637588195,0.40789473684210525,0.465534148001308,0.485916447368421,8.506572112049305
0.3,50,0.4490722840638415,0.381578947368421,0.4889646640096448,0.4645348684210526,8.515981290138384
0.3,100,0.45288658075857974,0.39473684210526316,0.5182476007048726,0.45466644736842105,6.715426228974613
