variant,method,PICP,MPIW,ECE,NLL,Interval score,WIS (one level),Covered / evaluated model-repeat predictions
raw,Deterministic,N/A,N/A,N/A,N/A,N/A,N/A,0/0
raw,Gaussian Process,0.9737 +/- 0.0000,2.4716 +/- 0.0000,0.1095 +/- 0.0000,0.7000 +/- 0.0000,2.4881 +/- 0.0000,0.4526 +/- 0.0000,370/380
raw,MC Dropout,0.9816 +/- 0.0079,2.3828 +/- 0.0517,0.1147 +/- 0.0075,0.6750 +/- 0.0157,2.4176 +/- 0.0352,0.4377 +/- 0.0087,373/380
raw,Deep Ensemble,0.9816 +/- 0.0079,2.2857 +/- 0.0301,0.0930 +/- 0.0051,0.6518 +/- 0.0075,2.3133 +/- 0.0256,0.4392 +/- 0.0023,373/380
raw,Gaussian residual-scale,0.9895 +/- 0.0084,2.4228 +/- 0.0058,0.1121 +/- 0.0076,0.6898 +/- 0.0107,2.4585 +/- 0.0320,0.4507 +/- 0.0112,376/380
calibrated,Deterministic,1.0000 +/- 0.0000,2.9337 +/- 0.0944,N/A,N/A,2.9337 +/- 0.0944,0.4767 +/- 0.0085,380/380
calibrated,Gaussian Process,1.0000 +/- 0.0000,2.9523 +/- 0.0000,N/A,N/A,2.9523 +/- 0.0000,0.4747 +/- 0.0000,380/380
calibrated,MC Dropout,1.0000 +/- 0.0000,2.9512 +/- 0.0756,N/A,N/A,2.9512 +/- 0.0756,0.4631 +/- 0.0076,380/380
calibrated,Deep Ensemble,1.0000 +/- 0.0000,2.8092 +/- 0.0231,N/A,N/A,2.8092 +/- 0.0231,0.4628 +/- 0.0020,380/380
calibrated,Gaussian residual-scale,1.0000 +/- 0.0000,2.9318 +/- 0.1184,N/A,N/A,2.9318 +/- 0.1184,0.4733 +/- 0.0091,380/380
