m,lambda_phys,label,metric,bootstrap_ci95_low,bootstrap_ci95_high
1,0.0,No Regularization,rmse,0.7519707028805332,1.1427189528875854
1,0.0,No Regularization,mae,0.6024363785484922,0.9529634255303169
1,0.0,No Regularization,physics_residual_abs,0.041488190162407,0.04148819016240701
1,0.1,lambda=0.1,rmse,0.7364252391500677,1.1406018372356244
1,0.1,lambda=0.1,mae,0.5939306697409068,0.9551552196557446
1,0.1,lambda=0.1,physics_residual_abs,0.005231783051463311,0.005231783051463313
1,1.0,lambda=1,rmse,0.7528439556855183,1.1353704319808633
1,1.0,lambda=1,mae,0.5984602053522433,0.9562808632676886
1,1.0,lambda=1,physics_residual_abs,0.009612499347562519,0.00961249934756252
1,10.0,lambda=10,rmse,0.7492022612515287,1.1431672909858859
1,10.0,lambda=10,mae,0.6058038814126381,0.9547596954641278
1,10.0,lambda=10,physics_residual_abs,0.004347752686197409,0.0043477526861974095
1,100.0,lambda=100,rmse,0.7509960861462193,1.14712268771137
1,100.0,lambda=100,mae,0.5867856672986983,0.9526355352887442
1,100.0,lambda=100,physics_residual_abs,0.00130056047124618,0.0013005604712461804
2,0.0,No Regularization,rmse,0.6050185684979696,0.8900746294937555
2,0.0,No Regularization,mae,0.4619762813727481,0.7339064476180658
2,0.0,No Regularization,physics_residual_abs,0.2429261073663728,0.4032549514552135
2,0.1,lambda=0.1,rmse,0.5997070888846556,0.8862907307818961
2,0.1,lambda=0.1,mae,0.4609773684832499,0.7302055794015042
2,0.1,lambda=0.1,physics_residual_abs,0.00672772474180933,0.008477333759640571
2,1.0,lambda=1,rmse,0.587829956170468,0.872628208894313
2,1.0,lambda=1,mae,0.46169518308038726,0.7300462041784858
2,1.0,lambda=1,physics_residual_abs,0.004650728092128857,0.008661843606449459
2,10.0,lambda=10,rmse,0.6234333765810942,0.8906259825081269
2,10.0,lambda=10,mae,0.46007919434607697,0.7427386326555484
2,10.0,lambda=10,physics_residual_abs,0.015577862311490111,0.01663306144773448
2,100.0,lambda=100,rmse,0.6063105231287207,0.8790261030603154
2,100.0,lambda=100,mae,0.4572905198439701,0.733179488425397
2,100.0,lambda=100,physics_residual_abs,0.006617959843889618,0.007747259010769729
3,0.0,No Regularization,rmse,0.39461564983305203,0.662611127987631
3,0.0,No Regularization,mae,0.3070236586191736,0.5480506541018727
3,0.0,No Regularization,physics_residual_abs,0.2448886960796079,0.37229967347658444
3,0.1,lambda=0.1,rmse,0.4013590894013889,0.6575658055937527
3,0.1,lambda=0.1,mae,0.30366889747061776,0.5415040102242878
3,0.1,lambda=0.1,physics_residual_abs,0.019664626705428637,0.02646569130448273
3,1.0,lambda=1,rmse,0.3904955370912127,0.6669563914611388
3,1.0,lambda=1,mae,0.305425452300522,0.5439320270865649
3,1.0,lambda=1,physics_residual_abs,0.02859929392889773,0.03039367481033319
3,10.0,lambda=10,rmse,0.3944962908168489,0.6569289786329034
3,10.0,lambda=10,mae,0.3005309967964997,0.529229082509034
3,10.0,lambda=10,physics_residual_abs,0.012429713391175653,0.015914200491644045
3,100.0,lambda=100,rmse,0.38750394877467226,0.6616634575853637
3,100.0,lambda=100,mae,0.3022397838046346,0.5370311947283575
3,100.0,lambda=100,physics_residual_abs,0.005256098482932723,0.006463766654207639
4,0.0,No Regularization,rmse,0.33319583282163856,0.5468537190538849
4,0.0,No Regularization,mae,0.2588756185230291,0.43691832551329085
4,0.0,No Regularization,physics_residual_abs,0.27760722596061826,0.4498858965906996
4,0.1,lambda=0.1,rmse,0.3210881591534045,0.5427922613838018
4,0.1,lambda=0.1,mae,0.25912429525331215,0.44331362716550926
4,0.1,lambda=0.1,physics_residual_abs,0.03983512983673879,0.05206909907798998
4,1.0,lambda=1,rmse,0.3245359083051255,0.5378838500848967
4,1.0,lambda=1,mae,0.2663860813252289,0.4434840127211316
4,1.0,lambda=1,physics_residual_abs,0.03731296152610456,0.04271814813976602
4,10.0,lambda=10,rmse,0.3239307440679394,0.539425368574157
4,10.0,lambda=10,mae,0.25333812203772443,0.42924523348334065
4,10.0,lambda=10,physics_residual_abs,0.016750269573167286,0.019018723331426186
4,100.0,lambda=100,rmse,0.4215010416529056,0.6577281463080845
4,100.0,lambda=100,mae,0.31568433824901443,0.5508809744650723
4,100.0,lambda=100,physics_residual_abs,0.0064390404938082365,0.009671784070780388
