m,lambda_phys,label,n_repeats,rmse_mean,rmse_sd,rmse_ci95_half,mae_mean,mae_sd,mae_ci95_half,physics_residual_abs_mean,physics_residual_abs_sd,physics_residual_abs_ci95_half
1,0.0,No Regularization,5,0.9651904903187862,0.003826754017345121,0.003354297789454007,0.7765373282232567,0.0024654757046872616,0.002161084738841526,0.04148819016240701,0.02257667471976036,0.019789327916679787
1,0.1,lambda=0.1,5,0.9656489288495838,0.003493789703127867,0.003062441699910826,0.7759877178621919,0.0018513965598747444,0.0016228206359861616,0.005231783051463312,0.004206113410987461,0.0036868209591522576
1,1.0,lambda=1,5,0.96515556830281,0.002228435356954586,0.0019533097131128694,0.7762928094126675,0.0018361978935840528,0.0016094984175967799,0.00961249934756252,0.005201343933820429,0.004559178975268429
1,10.0,lambda=10,5,0.9664420000439063,0.004178352123775886,0.0036624871180158504,0.7756401221218863,0.0021788507565577557,0.001909846894560075,0.0043477526861974095,0.0024828690073541173,0.0021763306408311227
1,100.0,lambda=100,5,0.9644239391249789,0.0025913664096959372,0.002271432807102357,0.776730994818928,0.0016633410593293162,0.0014579827219433298,0.0013005604712461802,0.0013160124391751213,0.0011535357631065042
2,0.0,No Regularization,5,0.7587521292460695,0.006926366017483144,0.006071227498837628,0.601558991698058,0.0035412779373922014,0.0031040669725298487,0.32590645584757566,0.04173211275285595,0.03657980965634814
2,0.1,lambda=0.1,5,0.7651743929997276,0.010399671853729664,0.009115714297783266,0.6041563043861012,0.006781682518133689,0.0059444068200486,0.007630134908844262,0.004643007029448381,0.004069775100439531
2,1.0,lambda=1,5,0.7588974581115598,0.005403377211945007,0.0047362689515610705,0.6059239126545819,0.008040566965231286,0.007047867690263366,0.006752050120554723,0.003273026079653859,0.0028689338520443827
2,10.0,lambda=10,5,0.7675205669250608,0.010093577172932392,0.008847410480368256,0.608105238130022,0.0036449009142100167,0.0031948965164464924,0.016162023206514047,0.009700449303500835,0.008502818709527996
2,100.0,lambda=100,5,0.7584958854655054,0.004312041360685094,0.0037796709008787632,0.6079779895610715,0.003245946068726738,0.002845197175900706,0.007135397759582204,0.006160216092102174,0.005399667479707197
3,0.0,No Regularization,5,0.5422244747842735,0.004819626098641664,0.0042245885404163875,0.42622839926104794,0.008679194452627761,0.007607649364117782,0.3130212735661284,0.04721588178597538,0.041386545146085765
3,0.1,lambda=0.1,5,0.5418285671220022,0.01230171719387394,0.010782930547108193,0.4263132094356575,0.013046299474896099,0.011435585692429496,0.023366613877495827,0.009541468484701785,0.00836346587769032
3,1.0,lambda=1,5,0.5405425280774212,0.016499777530939272,0.014462692675739108,0.42461578830292346,0.022284458436017507,0.019533189050643888,0.029581584480818456,0.014980392421620166,0.01313089290747123
3,10.0,lambda=10,5,0.5365426516450384,0.005662402200997312,0.004963314365050772,0.419783138034032,0.007820695959198367,0.006855142256081184,0.014428955185910064,0.009446401966437841,0.008280136400379138
3,100.0,lambda=100,5,0.5369198769181407,0.00858343709584601,0.007523714340146781,0.41807951319374537,0.0130489915540849,0.011437945403879749,0.005919644313524333,0.0034013855895429984,0.002981445923195286
4,0.0,No Regularization,5,0.4407754307856823,0.01553396972274607,0.013616124806109638,0.3471828381383889,0.016470270886135858,0.014436828961220305,0.362258392962831,0.09824307813706505,0.08611385480505393
4,0.1,lambda=0.1,5,0.429524784523744,0.01078652550371001,0.00945480647279365,0.3404677096460211,0.010578972045616983,0.009272877845419275,0.04570110545775721,0.013440362599502093,0.011780997250575123
4,1.0,lambda=1,5,0.4331416058872605,0.009126729692523082,0.007999931297860967,0.3451481421919246,0.015296087662783103,0.013407611987081328,0.040040046125775025,0.01493024280002921,0.013086934826005307
4,10.0,lambda=10,5,0.430690516585163,0.006653943761499459,0.005832438863115987,0.3394538129630842,0.005593110529205687,0.004902577536797706,0.017839201506974562,0.00910974977264893,0.007985047741865254
4,100.0,lambda=100,5,0.5450356926824462,0.03674130904104091,0.03220517732245327,0.42417806156567844,0.030063247395091957,0.026351598201529082,0.0080173110731763,0.0036719394833692985,0.00321859686727905
