"m","lambda","lambda_value","mean_rmse","half_rmse","mean_resid","half_resid"
1,"lambda = 0",0,0.4596,0.0039,0.078,0.0266
1,"lambda = 0.1",0.1,0.4671,0.0052,0.0607,0.0215
1,"lambda = 1",1,0.4617,0.0018,0.0386,0.0112
1,"lambda = 10",10,0.464,0.0013,0.0166,0.0051
1,"lambda = 100",100,0.4633,3e-04,0.0077,0.0014
2,"lambda = 0",0,0.4315,0.006,0.0852,0.0169
2,"lambda = 0.1",0.1,0.4399,0.0068,0.0736,0.0093
2,"lambda = 1",1,0.4481,0.0035,0.0433,0.0163
2,"lambda = 10",10,0.461,0.0012,0.0142,0.0037
2,"lambda = 100",100,0.4633,7e-04,0.0078,0.0013
3,"lambda = 0",0,0.4319,0.0036,0.0888,0.0153
3,"lambda = 0.1",0.1,0.4379,0.0068,0.0675,0.0113
3,"lambda = 1",1,0.4485,0.0032,0.05,0.0159
3,"lambda = 10",10,0.4619,0.0017,0.0155,0.0028
3,"lambda = 100",100,0.4623,7e-04,0.008,0.0019
4,"lambda = 0",0,0.4372,0.0085,0.0859,0.0145
4,"lambda = 0.1",0.1,0.437,0.0112,0.0959,0.0213
4,"lambda = 1",1,0.445,0.003,0.0506,0.0095
4,"lambda = 10",10,0.4605,0.0014,0.0198,0.0059
4,"lambda = 100",100,0.4636,6e-04,0.0073,0.0017
