"m","method_group","metric","mean","half"
1,"No regularization","RMSE",0.9664,0.0016
1,"lambda = 1","RMSE",0.964,0.0016
2,"No regularization","RMSE",0.7806,0.0048
2,"lambda = 1","RMSE",0.7758,0.0041
3,"No regularization","RMSE",0.5351,0.0114
3,"lambda = 1","RMSE",0.5374,0.0113
4,"No regularization","RMSE",0.4408,0.0115
4,"lambda = 1","RMSE",0.4341,0.0125
1,"No regularization","NLL",1.5799,0.0055
1,"lambda = 1","NLL",1.5775,0.0037
2,"No regularization","NLL",1.1885,0.0169
2,"lambda = 1","NLL",1.1772,0.0098
3,"No regularization","NLL",0.9285,0.0201
3,"lambda = 1","NLL",0.9078,0.0192
4,"No regularization","NLL",0.7839,0.0085
4,"lambda = 1","NLL",0.777,0.0223
1,"No regularization","ECE",0.1632,0.0019
1,"lambda = 1","ECE",0.1621,0.0057
2,"No regularization","ECE",0.0631,0.0177
2,"lambda = 1","ECE",0.0619,0.0041
3,"No regularization","ECE",0.1413,0.0076
3,"lambda = 1","ECE",0.1325,0.0151
4,"No regularization","ECE",0.1446,0.0198
4,"lambda = 1","ECE",0.1457,0.0248
1,"No regularization","Gompertz-style residual",0.0577,0.0376
1,"lambda = 1","Gompertz-style residual",0.0034,0.0013
2,"No regularization","Gompertz-style residual",0.3509,0.0735
2,"lambda = 1","Gompertz-style residual",0.0078,0.0051
3,"No regularization","Gompertz-style residual",0.4476,0.0623
3,"lambda = 1","Gompertz-style residual",0.0262,0.0087
4,"No regularization","Gompertz-style residual",0.4574,0.0515
4,"lambda = 1","Gompertz-style residual",0.0491,0.011
1,"lambda = 10","RMSE",0.964,0.0014
2,"lambda = 10","RMSE",0.7747,0.0022
3,"lambda = 10","RMSE",0.5342,0.0103
4,"lambda = 10","RMSE",0.4311,0.0023
1,"lambda = 10","NLL",1.5773,0.0033
2,"lambda = 10","NLL",1.177,0.0081
3,"lambda = 10","NLL",0.9079,0.0116
4,"lambda = 10","NLL",0.7969,0.0123
1,"lambda = 10","ECE",0.1632,0.0038
2,"lambda = 10","ECE",0.0589,0.0048
3,"lambda = 10","ECE",0.1336,0.0133
4,"lambda = 10","ECE",0.1676,0.0038
1,"lambda = 10","Gompertz-style residual",0.0037,0.0014
2,"lambda = 10","Gompertz-style residual",0.0051,0.0011
3,"lambda = 10","Gompertz-style residual",0.0132,0.0048
4,"lambda = 10","Gompertz-style residual",0.0214,0.0059
