lambda,m,Method,Mean absolute endpoint jump,Mean absolute slope jump
1,1,No Regularization + UQ,0.0404 +/- 0.0188,N/A
1,1,Gompertz-inspired regularization lambda=1 + UQ,0.0224 +/- 0.0144,N/A
1,2,No Regularization + UQ,0.1141 +/- 0.0473,0.4485 +/- 0.0138
1,2,Gompertz-inspired regularization lambda=1 + UQ,0.1026 +/- 0.0323,0.4502 +/- 0.0112
1,3,No Regularization + UQ,0.0881 +/- 0.0127,0.4180 +/- 0.0105
1,3,Gompertz-inspired regularization lambda=1 + UQ,0.1299 +/- 0.0422,0.4397 +/- 0.0171
1,4,No Regularization + UQ,0.0943 +/- 0.0111,0.4707 +/- 0.0143
1,4,Gompertz-inspired regularization lambda=1 + UQ,0.0761 +/- 0.0110,0.4580 +/- 0.0144
10,1,No Regularization + UQ,0.0404 +/- 0.0188,N/A
10,1,Gompertz-inspired regularization lambda=10 + UQ,0.0227 +/- 0.0135,N/A
10,2,No Regularization + UQ,0.1141 +/- 0.0473,0.4485 +/- 0.0138
10,2,Gompertz-inspired regularization lambda=10 + UQ,0.1003 +/- 0.0307,0.4510 +/- 0.0108
10,3,No Regularization + UQ,0.0881 +/- 0.0127,0.4180 +/- 0.0105
10,3,Gompertz-inspired regularization lambda=10 + UQ,0.1150 +/- 0.0386,0.4346 +/- 0.0151
10,4,No Regularization + UQ,0.0943 +/- 0.0111,0.4707 +/- 0.0143
10,4,Gompertz-inspired regularization lambda=10 + UQ,0.0596 +/- 0.0065,0.4590 +/- 0.0064
