Method,Subgroup,analysis,n_test_trajectories,covered_trajectories,Coverage fraction,PICP,PICP Clopper-Pearson 95% CI,MPIW,MAE
Deterministic,abdomen/liver,exploratory,13,13,13/13,1.0000,0.7529-1.0000,2.9337,0.2614
Deterministic,chest/lung,exploratory,17,17,17/17,1.0000,0.8049-1.0000,2.9337,0.3842
Deterministic,other,exploratory,8,8,8/8,1.0000,0.6306-1.0000,2.9337,0.4396
Cohort-level Feature GP,abdomen/liver,exploratory,13,13,13/13,1.0000,0.7529-1.0000,2.9509,0.2536
Cohort-level Feature GP,chest/lung,exploratory,17,17,17/17,1.0000,0.8049-1.0000,2.9545,0.3801
Cohort-level Feature GP,other,exploratory,8,8,8/8,1.0000,0.6306-1.0000,2.9500,0.4469
MC Dropout,abdomen/liver,exploratory,13,13,13/13,1.0000,0.7529-1.0000,2.9168,0.2477
MC Dropout,chest/lung,exploratory,17,17,17/17,1.0000,0.8049-1.0000,3.0073,0.3744
MC Dropout,other,exploratory,8,8,8/8,1.0000,0.6306-1.0000,2.8879,0.4109
Deep Ensemble,abdomen/liver,exploratory,13,13,13/13,1.0000,0.7529-1.0000,2.7849,0.2595
Deep Ensemble,chest/lung,exploratory,17,17,17/17,1.0000,0.8049-1.0000,2.8533,0.3737
Deep Ensemble,other,exploratory,8,8,8/8,1.0000,0.6306-1.0000,2.7547,0.4253
Gaussian residual-scale,abdomen/liver,exploratory,13,13,13/13,1.0000,0.7529-1.0000,2.9318,0.2594
Gaussian residual-scale,chest/lung,exploratory,17,17,17/17,1.0000,0.8049-1.0000,2.9318,0.3787
Gaussian residual-scale,other,exploratory,8,8,8/8,1.0000,0.6306-1.0000,2.9318,0.4380
