condition,category,m,N_test,best_method,rmse_mean,rmse_ci95_half,RMSE,mae_mean,mae_ci95_half,MAE
baseline_size,small baseline,1,13,Residual Gaussian,0.9690383050192978,0.01620021179980707,0.9690 +/- 0.0162,0.8330163108423734,0.013483737744350221,0.8330 +/- 0.0135
baseline_size,medium baseline,1,12,Residual Gaussian,0.9570201593085509,0.0014743464094832764,0.9570 +/- 0.0015,0.8017515495626463,0.005842953022551769,0.8018 +/- 0.0058
baseline_size,large baseline,1,13,Residual Gaussian,0.9665289090889241,0.008160134362615803,0.9665 +/- 0.0082,0.6971722080921516,0.013483737744350221,0.6972 +/- 0.0135
target_magnitude,low target change,1,13,Residual Gaussian,0.2527527105441723,0.009557118796847962,0.2528 +/- 0.0096,0.22905030330786336,0.008090242646610112,0.2291 +/- 0.0081
target_magnitude,high target change,1,13,Residual Gaussian,1.5045747521502089,0.006777006066931884,1.5046 +/- 0.0068,1.4551510031406696,0.008090242646610084,1.4552 +/- 0.0081
target_magnitude,middle target change,1,12,Residual Gaussian,0.6509305976755096,0.002192959211117916,0.6509 +/- 0.0022,0.6349043630891376,0.005842953022551726,0.6349 +/- 0.0058
early_trend,mid early change,1,12,Residual Gaussian,0.9543519084842322,0.0029391596871215543,0.9544 +/- 0.0029,0.7399030635133386,0.0,0.7399 +/- 0.0000
early_trend,early increase,1,13,Residual Gaussian,1.0003254691175967,0.026876267760181684,1.0003 +/- 0.0269,0.8801854317769026,0.018877232842090242,0.8802 +/- 0.0189
early_trend,early decrease,1,13,Residual Gaussian,0.9363522846929694,0.02426641119345776,0.9364 +/- 0.0243,0.7070939973569833,0.02427072793983034,0.7071 +/- 0.0243
baseline_size,small baseline,2,13,Deep Ensemble,0.7596563692776955,0.004010055682940773,0.7597 +/- 0.0040,0.5755326252812759,0.006121286861181153,0.5755 +/- 0.0061
baseline_size,medium baseline,2,12,Deep Ensemble,0.6680606803957163,0.007479934047966749,0.6681 +/- 0.0075,0.49550178142574924,0.010744135661799745,0.4955 +/- 0.0107
baseline_size,large baseline,2,13,Deep Ensemble,0.8029107631089222,0.0070655143257691315,0.8029 +/- 0.0071,0.6676725470484831,0.004600633336952406,0.6677 +/- 0.0046
target_magnitude,low target change,2,13,Deep Ensemble,0.7013539974415989,0.019612939783803702,0.7014 +/- 0.0196,0.5236847429321362,0.014761993405271885,0.5237 +/- 0.0148
target_magnitude,high target change,2,13,Deep Ensemble,0.9950550702349634,0.008452361102907794,0.9951 +/- 0.0085,0.8511248064203523,0.01881963005798116,0.8511 +/- 0.0188
target_magnitude,middle target change,2,12,Deep Ensemble,0.4051269240250937,0.0036967322529804676,0.4051 +/- 0.0037,0.352930372984459,0.00843840588569108,0.3529 +/- 0.0084
early_trend,mid early change,2,12,Deep Ensemble,0.9532294820770099,0.0009809244086053785,0.9532 +/- 0.0010,0.7735121537362121,0.0012291423577884617,0.7735 +/- 0.0012
early_trend,early increase,2,13,Deep Ensemble,0.7282154281524976,0.009078460631112,0.7282 +/- 0.0091,0.5759466196481998,0.005803497934799382,0.5759 +/- 0.0058
early_trend,early decrease,2,13,Deep Ensemble,0.5144551012864146,0.006640688400073241,0.5145 +/- 0.0066,0.41063359362574725,0.007203718865799116,0.4106 +/- 0.0072
baseline_size,small baseline,3,13,Deterministic,0.5052953928650038,0.007431320570358828,0.5053 +/- 0.0074,0.40367517954646015,0.012454622338126685,0.4037 +/- 0.0125
baseline_size,medium baseline,3,12,Deterministic,0.4187933589795699,0.010895668045036899,0.4188 +/- 0.0109,0.32456992007792,0.029486630375764405,0.3246 +/- 0.0295
baseline_size,large baseline,3,13,Deterministic,0.6396514354062235,0.026923159577858027,0.6397 +/- 0.0269,0.5075536825431464,0.030427118524005016,0.5076 +/- 0.0304
target_magnitude,low target change,3,13,Deterministic,0.49802471494317735,0.01094909399318663,0.4980 +/- 0.0109,0.3265958500023072,0.010195025020679043,0.3266 +/- 0.0102
target_magnitude,high target change,3,13,Deterministic,0.6913504383411458,0.02701347454339873,0.6914 +/- 0.0270,0.614494966247525,0.030406086959120514,0.6145 +/- 0.0304
target_magnitude,middle target change,3,12,Deterministic,0.32966200487785086,0.013176576743712233,0.3297 +/- 0.0132,0.2922194697376755,0.020548697084615136,0.2922 +/- 0.0205
early_trend,mid early change,3,12,Deterministic,0.6091405068573607,0.012053958426567313,0.6091 +/- 0.0121,0.44715992801098364,0.02647186424280747,0.4472 +/- 0.0265
early_trend,early increase,3,13,Deterministic,0.6056290774157224,0.00970737304596851,0.6056 +/- 0.0097,0.5201209586782333,0.015325584958895851,0.5201 +/- 0.0153
early_trend,early decrease,3,13,Deterministic,0.34051131620887815,0.05320894464648673,0.3405 +/- 0.0532,0.27794789608854514,0.03989743784963143,0.2779 +/- 0.0399
baseline_size,small baseline,4,13,MC Dropout,0.44392807431289844,0.007762085782996929,0.4439 +/- 0.0078,0.37494626786106094,0.008984493743897802,0.3749 +/- 0.0090
baseline_size,medium baseline,4,12,MC Dropout,0.4252653755896525,0.0042369502180789245,0.4253 +/- 0.0042,0.32510126287699675,0.005222227507784492,0.3251 +/- 0.0052
baseline_size,large baseline,4,13,MC Dropout,0.4058634432595763,0.002382213582530437,0.4059 +/- 0.0024,0.31492675787028973,0.006962634388360269,0.3149 +/- 0.0070
target_magnitude,low target change,4,13,MC Dropout,0.26685622050011676,0.011434939510489192,0.2669 +/- 0.0114,0.2235414938253756,0.008792534806481,0.2235 +/- 0.0088
target_magnitude,high target change,4,13,MC Dropout,0.6055340235984337,0.01202086999692126,0.6055 +/- 0.0120,0.530729429495091,0.015956024909793497,0.5307 +/- 0.0160
target_magnitude,middle target change,4,12,MC Dropout,0.31354070417638036,0.0037151639383068797,0.3135 +/- 0.0037,0.25533687382212117,0.00200691695000226,0.2553 +/- 0.0020
early_trend,mid early change,4,12,MC Dropout,0.4321126934022752,0.0005518771049995022,0.4321 +/- 0.0006,0.34748337754151887,0.0020865379388122873,0.3475 +/- 0.0021
early_trend,early increase,4,13,MC Dropout,0.43169553769340335,0.008709146007320298,0.4317 +/- 0.0087,0.36083005466331275,0.008696064237590248,0.3608 +/- 0.0087
early_trend,early decrease,4,13,MC Dropout,0.4123328334167938,0.0019776389671960592,0.4123 +/- 0.0020,0.308382557531556,0.0033740362645121075,0.3084 +/- 0.0034
