m,method,Method,Subgroup,n_per_repeat,rmse_mean,rmse_sd,RMSE,picp_mean,picp_sd,PICP,mpiw_mean,mpiw_sd,MPIW,ece_mean,ece_sd,ECE,nll_mean,nll_sd,NLL,mae_mean,mae_sd,MAE
1,deterministic,Deterministic,abdomen/liver,13,0.7713786214377336,0.0010245155807740542,0.7714 +/- 0.0010,1.0,0.0,1.0000 +/- 0.0000,6.376651796201865,0.017868223307650272,6.3767 +/- 0.0179,0.22418814102564108,0.00555144489605409,0.2242 +/- 0.0056,1.5179349655414394,0.00247201699471156,1.5179 +/- 0.0025,0.5607203477277206,0.0006872402193106675,0.5607 +/- 0.0007
1,deterministic,Deterministic,chest/lung,17,1.1353313480872271,0.0009640701407576798,1.1353 +/- 0.0010,1.0,0.0,1.0000 +/- 0.0000,6.376651796201865,0.017868223307650272,6.3767 +/- 0.0179,0.10767230392156864,0.0042452225675707785,0.1077 +/- 0.0042,1.6490570195831282,0.0018509719370586697,1.6491 +/- 0.0019,0.9599229169680793,0.0005255366382963955,0.9599 +/- 0.0005
1,deterministic,Deterministic,other,8,0.8532552063975585,0.00038396560820780346,0.8533 +/- 0.0004,1.0,0.0,1.0000 +/- 0.0000,6.376651796201865,0.017868223307650272,6.3767 +/- 0.0179,0.19253750000000003,0.0,0.1925 +/- 0.0000,1.5430695761872288,0.0021555775061694597,1.5431 +/- 0.0022,0.7322396589443088,0.0022335307127596855,0.7322 +/- 0.0022
1,mc_dropout,MC Dropout,abdomen/liver,13,0.76938297416695,0.0009758160309833021,0.7694 +/- 0.0010,1.0,0.0,1.0000 +/- 0.0000,6.760549045350288,0.6291359277654397,6.7605 +/- 0.6291,0.22739326923076927,0.009615384615384623,0.2274 +/- 0.0096,1.562622498790539,0.07924487771053451,1.5626 +/- 0.0792,0.558859812056598,0.0005949882120247109,0.5589 +/- 0.0006
1,mc_dropout,MC Dropout,chest/lung,17,1.133391845817683,0.0011634876464962601,1.1334 +/- 0.0012,1.0,0.0,1.0000 +/- 0.0000,6.671690247173544,0.39396384174060556,6.6717 +/- 0.3940,0.11257426470588235,0.025471335405424664,0.1126 +/- 0.0255,1.6920721865642363,0.03231182402212924,1.6921 +/- 0.0323,0.9614809962676144,0.0005392801852366606,0.9615 +/- 0.0005
1,mc_dropout,MC Dropout,other,8,0.8530909928409898,0.0005456014855609582,0.8531 +/- 0.0005,1.0,0.0,1.0000 +/- 0.0000,7.2222060135884405,0.27328213822767244,7.2222 +/- 0.2733,0.18732916666666669,0.009021097956087902,0.1873 +/- 0.0090,1.6412062642280907,0.042439485640808385,1.6412 +/- 0.0424,0.7382813713156308,0.0022775957128297795,0.7383 +/- 0.0023
1,deep_ensemble,Deep Ensemble,abdomen/liver,13,0.7695175855374013,0.0031350426045370513,0.7695 +/- 0.0031,1.0,0.0,1.0000 +/- 0.0000,6.33320644251715,0.06274488520183732,6.3332 +/- 0.0627,0.22098301282051283,0.00555144489605409,0.2210 +/- 0.0056,1.512077445361447,0.008566261649863958,1.5121 +/- 0.0086,0.5590493724944117,0.002413265544711304,0.5590 +/- 0.0024
1,deep_ensemble,Deep Ensemble,chest/lung,17,1.133415200019513,0.003070404659305492,1.1334 +/- 0.0031,1.0,0.0,1.0000 +/- 0.0000,6.33320644251715,0.06274488520183699,6.3332 +/- 0.0627,0.1038075980392157,0.008435476828223322,0.1038 +/- 0.0084,1.644740042153299,0.006362822900378375,1.6447 +/- 0.0064,0.9612007215582565,0.0018454383577205073,0.9612 +/- 0.0018
1,deep_ensemble,Deep Ensemble,other,8,0.8528960256597825,0.0009358720309473876,0.8529 +/- 0.0009,1.0,0.0,1.0000 +/- 0.0000,6.33320644251715,0.06274488520183699,6.3332 +/- 0.0627,0.18732916666666669,0.009021097956087902,0.1873 +/- 0.0090,1.5380011152974753,0.007440479465041466,1.5380 +/- 0.0074,0.7376703284525622,0.00784311302031188,0.7377 +/- 0.0078
1,bayesian_laplace,Residual Gaussian,abdomen/liver,13,0.7693300938520924,0.0023586205806555164,0.7693 +/- 0.0024,1.0,0.0,1.0000 +/- 0.0000,6.329153844465812,0.0619609534158141,6.3292 +/- 0.0620,0.22098301282051283,0.00555144489605409,0.2210 +/- 0.0056,1.5115300817119028,0.008277409217178237,1.5115 +/- 0.0083,0.5588935030958592,0.002383114168280475,0.5589 +/- 0.0024
1,bayesian_laplace,Residual Gaussian,chest/lung,17,1.1332266445371124,0.0025318348781152925,1.1332 +/- 0.0025,1.0,0.0,1.0000 +/- 0.0000,6.329153844465812,0.0619609534158141,6.3292 +/- 0.0620,0.10206348039215689,0.005469544756058195,0.1021 +/- 0.0055,1.6443359317456359,0.006065528912784558,1.6443 +/- 0.0061,0.9613199158042085,0.0018223814228027198,0.9613 +/- 0.0018
