Method,Subgroup,n_per_repeat,RMSE,PICP,MPIW,ECE,NLL
Deterministic,abdomen/liver,13,0.3113 +/- 0.0401,1.0000 +/- 0.0000,2.8381 +/- 0.1671,0.2082 +/- 0.0347,0.6907 +/- 0.0257
Deterministic,chest/lung,17,0.4528 +/- 0.0063,1.0000 +/- 0.0000,2.8381 +/- 0.1671,0.1315 +/- 0.0219,0.7921 +/- 0.0309
Deterministic,other,8,0.5667 +/- 0.0207,1.0000 +/- 0.0000,2.8381 +/- 0.1671,0.1017 +/- 0.0258,0.9049 +/- 0.0149
MC Dropout,abdomen/liver,13,0.2750 +/- 0.0039,1.0000 +/- 0.0000,3.0990 +/- 0.0309,0.2178 +/- 0.0096,0.7119 +/- 0.0147
MC Dropout,chest/lung,17,0.4496 +/- 0.0055,1.0000 +/- 0.0000,3.2153 +/- 0.1804,0.1371 +/- 0.0085,0.8582 +/- 0.0249
MC Dropout,other,8,0.5539 +/- 0.0047,1.0000 +/- 0.0000,2.8218 +/- 0.0465,0.0919 +/- 0.0136,0.9300 +/- 0.0206
Deep Ensemble,abdomen/liver,13,0.2904 +/- 0.0082,1.0000 +/- 0.0000,2.7934 +/- 0.0505,0.2178 +/- 0.0000,0.6602 +/- 0.0101
Deep Ensemble,chest/lung,17,0.4458 +/- 0.0057,1.0000 +/- 0.0000,2.8621 +/- 0.0591,0.1395 +/- 0.0042,0.8006 +/- 0.0166
Deep Ensemble,other,8,0.5556 +/- 0.0086,1.0000 +/- 0.0000,2.7597 +/- 0.0500,0.0936 +/- 0.0090,0.8684 +/- 0.0157
Residual Gaussian,abdomen/liver,13,0.2841 +/- 0.0287,1.0000 +/- 0.0000,2.9323 +/- 0.1701,0.2242 +/- 0.0309,0.7018 +/- 0.0343
Residual Gaussian,chest/lung,17,0.4398 +/- 0.0073,1.0000 +/- 0.0000,2.9323 +/- 0.1701,0.1535 +/- 0.0227,0.8011 +/- 0.0439
Residual Gaussian,other,8,0.5701 +/- 0.0067,1.0000 +/- 0.0000,2.9323 +/- 0.1701,0.1133 +/- 0.0291,0.9199 +/- 0.0264
