m,Subgroup,n_per_repeat,RMSE,PICP,MPIW,ECE,NLL
1,abdomen/liver,13,0.7695 +/- 0.0031,1.0000 +/- 0.0000,6.3332 +/- 0.0627,0.2210 +/- 0.0056,1.5121 +/- 0.0086
1,chest/lung,17,1.1334 +/- 0.0031,1.0000 +/- 0.0000,6.3332 +/- 0.0627,0.1038 +/- 0.0084,1.6447 +/- 0.0064
1,other,8,0.8529 +/- 0.0009,1.0000 +/- 0.0000,6.3332 +/- 0.0627,0.1873 +/- 0.0090,1.5380 +/- 0.0074
2,abdomen/liver,13,0.7760 +/- 0.0082,0.9744 +/- 0.0444,3.2013 +/- 0.0198,0.0473 +/- 0.0065,1.1538 +/- 0.0114
2,chest/lung,17,0.7826 +/- 0.0006,0.9412 +/- 0.0000,3.3323 +/- 0.0172,0.0659 +/- 0.0012,1.2278 +/- 0.0035
2,other,8,0.6123 +/- 0.0059,1.0000 +/- 0.0000,3.1298 +/- 0.0191,0.0928 +/- 0.0090,0.9901 +/- 0.0040
3,abdomen/liver,13,0.5577 +/- 0.0071,1.0000 +/- 0.0000,3.3286 +/- 0.0322,0.1312 +/- 0.0192,0.9752 +/- 0.0170
3,chest/lung,17,0.5853 +/- 0.0015,1.0000 +/- 0.0000,3.3604 +/- 0.0223,0.1150 +/- 0.0042,1.0029 +/- 0.0047
3,other,8,0.3631 +/- 0.0073,1.0000 +/- 0.0000,3.2951 +/- 0.0460,0.2186 +/- 0.0090,0.8435 +/- 0.0158
4,abdomen/liver,13,0.2904 +/- 0.0082,1.0000 +/- 0.0000,2.7934 +/- 0.0505,0.2178 +/- 0.0000,0.6602 +/- 0.0101
4,chest/lung,17,0.4458 +/- 0.0057,1.0000 +/- 0.0000,2.8621 +/- 0.0591,0.1395 +/- 0.0042,0.8006 +/- 0.0166
4,other,8,0.5556 +/- 0.0086,1.0000 +/- 0.0000,2.7597 +/- 0.0500,0.0936 +/- 0.0090,0.8684 +/- 0.0157
