m,method,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std
1,adaptive_pinn,0.49964708671843006,0.0028570886804697927,0.6462936200287476,0.0015434207089325943,2.084001440629094,0.02985710640399406,0.3466666666666666,0.007453559924999297,0.4583680064829531,0.02125091000702066
1,deep_ensemble_pinn,0.49808634753742564,0.0009568731909372274,0.6457568074945361,0.0002570538233306264,2.116153523103017,0.009095242918659666,0.03666666666666667,0.01825741858350554,0.0359839301191581,0.0058944690744079115
1,fixed_pinn,0.49698242369728785,0.0011961532750682298,0.6453779072356964,0.00034388089089272853,2.132932758375219,0.014175436056372392,0.0,0.0,0.0,0.0
1,mc_dropout_pinn,0.49703144551500056,0.0024612423571897237,0.6463269167634221,0.0010462598481771643,2.0580734101445097,0.03178351536397412,0.3433333333333333,0.009128709291752754,0.4298911102363297,0.02916598374512703
1,no_physics,0.5046805477856348,0.002458839514540819,0.6483226068005312,0.0005668989928873833,2.0957720070717274,0.018092642414267935,0.0,0.0,0.0,0.0
2,adaptive_pinn,0.2944195563495159,0.003088955464295113,0.38784245987557303,0.006088756336245243,1.0050811003242022,0.04984306744804601,0.51,0.04801620096962646,0.5374815965245167,0.04523150247242905
2,deep_ensemble_pinn,0.28431343877253434,0.0012466009210237911,0.4019523161905273,0.0027405960407922065,0.6535419141755794,0.024750244463821843,0.11000000000000001,0.009128709291752767,0.07008911119773985,0.004511833168330571
2,fixed_pinn,0.2895471156357477,0.004123354152669884,0.40218721853828265,0.008954719833810318,0.6083548319599373,0.044613495095868726,0.0,0.0,0.0,0.0
2,mc_dropout_pinn,0.2888338169605161,0.005475712895358712,0.3932672033513517,0.006635402792402165,0.6954586943599728,0.03402515065602737,0.5333333333333334,0.03118047822311618,0.5425357921877876,0.027197048076359698
2,no_physics,0.30159220983895163,0.0024710860932407124,0.4458600656208569,0.008830794176057607,0.5130526317522633,0.030541351964226922,0.0,0.0,0.0,0.0
3,adaptive_pinn,0.022714216733165087,0.004103542339463448,0.02841614777736865,0.0035540872801910696,0.031191534044374202,0.0058547985044098035,1.0,0.0,0.36570805808148965,0.00489418741161269
3,deep_ensemble_pinn,0.007969175205255554,0.001377012377699636,0.01103126094919884,0.0018468517063208567,0.01902117407970555,0.005926491015099292,0.4,0.06972166887783965,0.01160420447339613,0.0011802842960908365
3,fixed_pinn,0.008063030941411854,0.003397959531542778,0.011271821140025779,0.004589518840661834,0.020134624801463823,0.005872970031197724,0.0,0.0,0.0,0.0
3,mc_dropout_pinn,0.023753423263194663,0.0052749383215804305,0.031171644693854406,0.00837884916896254,0.04649835284264529,0.01868033262236773,1.0,0.0,0.38932234049526354,0.009931981046680251
3,no_physics,0.008333383770659567,0.001155334721151098,0.011707220971403259,0.001147401467656811,0.01895760687094219,0.004859474097620462,0.0,0.0,0.0,0.0
