generator,total_nodes,k,method,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
gompertz,5,1,nls_gompertz,0.4247697214282852,0.00519038100202636,0.6698525281630211,0.0027146761055215833,11.82976459032955,20.931508674853998
gompertz,5,1,nls_log_linear,0.4247697214282852,0.00519038100202636,0.6698525281630211,0.0027146761055215833,11.82976459032955,20.931508674853998
gompertz,5,1,nls_logistic,0.4247697214282852,0.00519038100202636,0.6698525281630211,0.0027146761055215833,11.82976459032955,20.931508674853998
gompertz,5,2,nls_gompertz,0.1755528349213895,0.00976845993983803,0.25458058256556526,0.020508070012595126,5.709774770296581,9.475857620380987
gompertz,5,2,nls_log_linear,0.38424982290942755,0.03212036426440811,0.7489183673453355,0.02513702562246125,1.4057128602505284,1.49480671081337
gompertz,5,2,nls_logistic,0.19308677822482956,0.012543586155746675,0.29087023820276464,0.02650486752168982,5.031464438406834,10.178870806611503
gompertz,5,3,nls_gompertz,0.0917927288505549,0.011333565170591815,0.1213507691358564,0.020839732268911747,0.6956970987603129,0.9037269475878585
gompertz,5,3,nls_log_linear,0.21020827521728908,0.013166233255833921,0.4131972666843642,0.022761798460267397,2.081198664531944,3.455230088705635
gompertz,5,3,nls_logistic,0.10324636919787009,0.012175620076764673,0.1395192855719951,0.019157472721004466,1.054665091907181,1.6833350250002401
gompertz,5,4,nls_gompertz,0.05233323063452844,0.0035483383986208527,0.06611222948302212,0.004663364120357292,0.3500298681359387,0.5870001297891597
gompertz,5,4,nls_log_linear,0.11762095702239857,0.009038111602116766,0.21208067343843012,0.010729354648316258,1.0780228365190825,1.5438954782304533
gompertz,5,4,nls_logistic,0.05935530969213647,0.004741820929952837,0.0740618503043042,0.006718789867531784,0.3615620931098376,0.3823843005248074
gompertz,8,1,nls_gompertz,0.4243646469477933,0.008608957275485803,0.6742337683526235,0.014128858388119326,3.464285428291474,5.501430378713135
gompertz,8,1,nls_log_linear,0.4243646469477933,0.008608957275485803,0.6742337683526235,0.014128858388119326,3.464285428291474,5.501430378713135
gompertz,8,1,nls_logistic,0.4243646469477933,0.008608957275485803,0.6742337683526235,0.014128858388119326,3.464285428291474,5.501430378713135
gompertz,8,2,nls_gompertz,0.23988100916923338,0.016666934743274204,0.32910320997465686,0.021632160296559913,1.9965493933739549,3.2532752794446793
gompertz,8,2,nls_log_linear,0.5660643190826345,0.01486004205073466,1.010589404538535,0.038922967083972936,1.525642872541036,1.7040007928760872
gompertz,8,2,nls_logistic,0.25758780663902003,0.02945654756271224,0.34159326355931313,0.0358191385329784,1.10463637768247,1.4423937881339646
gompertz,8,3,nls_gompertz,0.14303867502564643,0.027568552988976525,0.2066050500603545,0.03912510764161316,0.34275054251147147,0.25423606133040355
gompertz,8,3,nls_log_linear,0.3593848541633612,0.016743461735027172,0.7038339523987248,0.02255799729676977,1.5166542771787757,2.3094865293786624
gompertz,8,3,nls_logistic,0.16482562766748649,0.026948336706069477,0.23860739926028723,0.03295763176138248,0.8962990626377557,1.1910565166863178
gompertz,8,4,nls_gompertz,0.10364415666102023,0.011980580220867162,0.14151030824846753,0.017906166119075074,0.25972625815763883,0.1435134604722145
gompertz,8,4,nls_log_linear,0.2505626521905227,0.007646500009492055,0.4905173682366709,0.014283661543796221,1.0602375320040272,1.5944680155414857
gompertz,8,4,nls_logistic,0.11930178367537958,0.012505378290154051,0.16711079604979157,0.020408799827363152,0.42971625247991535,0.36360908987501334
gompertz,8,7,nls_gompertz,0.044535043663751175,0.0013304357309683983,0.055269639343639224,0.003972795769149861,0.12690896058344567,0.11848780830601466
gompertz,8,7,nls_log_linear,0.08980012603268087,0.004875012285461725,0.15981740276840686,0.00638217763358484,0.45431350649826474,0.6902938038582355
gompertz,8,7,nls_logistic,0.04648395999844097,0.0017020630544404185,0.05811764025038625,0.00467200856245971,0.09066598733382761,0.02591906741788533
logistic,5,1,nls_gompertz,0.43117003325666003,0.005365723511234902,0.6817919183643405,0.00306482635789869,1.8310783080444863,1.0989701702257402
logistic,5,1,nls_log_linear,0.43117003325666003,0.005365723511234902,0.6817919183643405,0.00306482635789869,1.8310783080444863,1.0989701702257402
logistic,5,1,nls_logistic,0.43117003325666003,0.005365723511234902,0.6817919183643405,0.00306482635789869,1.8310783080444863,1.0989701702257402
logistic,5,2,nls_gompertz,0.19255937641463744,0.010751032265721687,0.2910652511465269,0.025340971939638003,0.6646691951262527,0.2374215094235312
logistic,5,2,nls_log_linear,0.35066119005356977,0.028604363377106645,0.6709088125047953,0.022384092366259507,0.8996123968359484,1.000206505852258
logistic,5,2,nls_logistic,0.18229664447655308,0.021537994782592763,0.2810917792181046,0.01615789229666738,0.659122430130095,0.4753116451711144
logistic,5,3,nls_gompertz,0.10934600496799822,0.013056140541145468,0.15498730309506925,0.027013576965887166,0.3075566685507175,0.2569187523213165
logistic,5,3,nls_log_linear,0.2064127217877943,0.010714328632409504,0.4229326808089418,0.021817034244999693,0.5434225217513615,0.4435339015970668
logistic,5,3,nls_logistic,0.10130064443057107,0.014125857921954683,0.13588773287391734,0.025472563599126766,0.3524176911365268,0.31085720295391484
logistic,5,4,nls_gompertz,0.061057011294956186,0.004203155313718585,0.0770041288301084,0.0067451994788784225,0.10259646989843585,0.030728371461305286
logistic,5,4,nls_log_linear,0.11847530957927158,0.008753617361583407,0.22624330795948627,0.010552822512123045,0.33731450488226056,0.29833714160854247
logistic,5,4,nls_logistic,0.055913433016848715,0.0041420635590114,0.06969850312316808,0.005423888341144814,0.11346020378397093,0.041478592779659554
logistic,8,1,nls_gompertz,0.431008653357281,0.008802772372243547,0.6869075783855786,0.015323565512536679,1.4955729681388272,0.8918075554728578
logistic,8,1,nls_log_linear,0.431008653357281,0.008802772372243547,0.6869075783855786,0.015323565512536679,1.4955729681388272,0.8918075554728578
logistic,8,1,nls_logistic,0.431008653357281,0.008802772372243547,0.6869075783855786,0.015323565512536679,1.4955729681388272,0.8918075554728578
logistic,8,2,nls_gompertz,0.25991317297686767,0.00506142795845529,0.3560427200776383,0.011835871049596557,0.7028327022051717,0.40101953967909937
logistic,8,2,nls_log_linear,0.5003912900655322,0.01640797935804509,0.8308400138054355,0.03458423066417601,0.8246610719395709,0.3817085127676605
logistic,8,2,nls_logistic,0.24994348884003575,0.009081496273436622,0.3417265971324744,0.025056068550126067,0.48029503248188965,0.1278767344353628
logistic,8,3,nls_gompertz,0.15991124730211434,0.02608152766524568,0.23533812476335064,0.03568987679505399,0.5176667862061559,0.6835855889005129
logistic,8,3,nls_log_linear,0.33231239854214734,0.015517269717551227,0.6433985618449982,0.021813061904925483,0.5338199886984974,0.16547651135290872
logistic,8,3,nls_logistic,0.17170365556607045,0.02927475187203412,0.2567507120459758,0.03844273553569605,0.5957920879747682,0.6796634023840457
logistic,8,4,nls_gompertz,0.12244951909686083,0.009467610822326226,0.17829937628294737,0.01736347096796619,0.271434133390715,0.23886284079981263
logistic,8,4,nls_log_linear,0.24357244940964423,0.0073197136277108835,0.49103811851443757,0.01448004980532783,0.4048043900717966,0.11972344450985827
logistic,8,4,nls_logistic,0.11661422161468002,0.011280630882788214,0.16701407495213436,0.017097203038268647,0.32406086688985347,0.27523634876588476
logistic,8,7,nls_gompertz,0.05202474644307148,0.00249466735545235,0.06753543224396802,0.0024848232928604518,0.10694151902886921,0.03601303590724901
logistic,8,7,nls_log_linear,0.09262741483569562,0.0042451038747456805,0.1755601052073104,0.005388713522793463,0.2175319219681831,0.126696452952654
logistic,8,7,nls_logistic,0.0454132760755455,0.0011734136930677463,0.05665530162137085,0.0038734394882670928,0.12535141869183128,0.10038450343937266
