m,comparison,delta_rmse_mean,delta_rmse_ci95_low,delta_rmse_ci95_high,Delta_RMSE,interpretation
1,Neural/UQ minus Training-set mean target,0.0013404821501245372,-0.0033206663384542064,0.0053275883167268195,0.0013 (-0.0033-0.0053),Negative values favor neural/UQ; positive values favor the traditional baseline.
1,Neural/UQ minus Training-set median target,0.004398732708369028,-0.019453541880035684,0.023377763453744697,0.0044 (-0.0195-0.0234),Negative values favor neural/UQ; positive values favor the traditional baseline.
1,Neural/UQ minus LOCF,0.003373012267618362,-0.011311580917710935,0.016533280319862214,0.0034 (-0.0113-0.0165),Negative values favor neural/UQ; positive values favor the traditional baseline.
1,Neural/UQ minus Ridge trajectory regression,0.0013404821501245372,-0.0033423854582780798,0.005278040684281827,0.0013 (-0.0033-0.0053),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Training-set mean target,-0.20702683624391183,-0.3161862039991744,-0.07896913334806219,-0.2070 (-0.3162--0.0790),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Training-set median target,-0.20396858568566734,-0.3243887384981348,-0.08445869872592064,-0.2040 (-0.3244--0.0845),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus LOCF,-0.0012138783584739743,-0.023321045727342428,0.023478850495965157,-0.0012 (-0.0233-0.0235),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Ridge trajectory regression,-0.0007253276721750357,-0.00917587851314321,0.005399067033107185,-0.0007 (-0.0092-0.0054),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Least-squares linear extrapolation,-1.2848365441900413,-1.7696786084852723,-0.5512802845648727,-1.2848 (-1.7697--0.5513),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Recent-two linear extrapolation,-1.2848365441900413,-1.7785606321504481,-0.5020606346748915,-1.2848 (-1.7786--0.5021),Negative values favor neural/UQ; positive values favor the traditional baseline.
2,Neural/UQ minus Gaussian process regression,-0.023649879264327267,-0.09038918638247657,0.042725937362887455,-0.0236 (-0.0904-0.0427),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus LOCF,0.03047414146705903,0.008142742765215325,0.0486323899372863,0.0305 (0.0081-0.0486),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Ridge trajectory regression,0.003379336983508193,-0.01516037505302343,0.01879212762286651,0.0034 (-0.0152-0.0188),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Least-squares linear extrapolation,-0.2163662015349435,-0.34759457983157543,-0.02392042056629123,-0.2164 (-0.3476--0.0239),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Recent-two linear extrapolation,-0.49268690720220043,-0.6988713643565162,-0.2962706588582473,-0.4927 (-0.6989--0.2963),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Gaussian process regression,0.05222717749747532,-0.0030944770734227583,0.12062216058836525,0.0522 (-0.0031-0.1206),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Gompertz curve fit,-0.24539276453745776,-0.45526726926999483,-0.053760646208286196,-0.2454 (-0.4553--0.0538),Negative values favor neural/UQ; positive values favor the traditional baseline.
3,Neural/UQ minus Logistic curve fit,-0.24673823332919578,-0.45834501596628807,-0.055868078403308354,-0.2467 (-0.4583--0.0559),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus LOCF,-0.027669715151980856,-0.056452657050896034,0.0035509734739598165,-0.0277 (-0.0565-0.0036),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Ridge trajectory regression,-0.00988900306051832,-0.023511115273329608,0.00631505565764201,-0.0099 (-0.0235-0.0063),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Least-squares linear extrapolation,0.0061810362354679516,-0.0931214282584096,0.1039641547446615,0.0062 (-0.0931-0.1040),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Recent-two linear extrapolation,-0.4242854344365492,-0.583419105570561,-0.2207098740262144,-0.4243 (-0.5834--0.2207),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Gaussian process regression,0.03865811208069064,0.011229536464729793,0.06039884308855749,0.0387 (0.0112-0.0604),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Gompertz curve fit,-0.28231580716289045,-0.5119629122642911,-0.07804192257647521,-0.2823 (-0.5120--0.0780),Negative values favor neural/UQ; positive values favor the traditional baseline.
4,Neural/UQ minus Logistic curve fit,-0.290247465223409,-0.5180996018611371,-0.08967167515083911,-0.2902 (-0.5181--0.0897),Negative values favor neural/UQ; positive values favor the traditional baseline.
