m,method,subgroup,analysis,N_test_trajectories,N_test_patients,rmse_mean,rmse_ci95_low,rmse_ci95_high,RMSE,mae_mean,mae_ci95_low,mae_ci95_high,MAE,picp_mean,picp_ci95_low,picp_ci95_high,PICP,mpiw_mean,mpiw_ci95_low,mpiw_ci95_high,MPIW,ece_mean,ece_ci95_low,ece_ci95_high,ECE,nll_mean,nll_ci95_low,nll_ci95_high,NLL,physics_residual_abs_mean,physics_residual_abs_ci95_low,physics_residual_abs_ci95_high,PHYSICS_RESIDUAL_ABS
1,Deterministic,chest/lung,subgroup exploratory,17,12,1.1353313480872271,0.9279711961750651,1.2882416451707492,1.1353 (0.9280-1.2882),0.9599229169680793,0.7845605316810823,1.1219490793461286,0.9599 (0.7846-1.1219),1.0,1.0,1.0,1.0000 (1.0000-1.0000),6.376651796201865,6.376651796201865,6.376651796201865,6.3767 (6.3767-6.3767),0.10767230392156864,0.08650108926830967,0.16447465753845397,0.1077 (0.0865-0.1645),1.6490570195831282,1.5723324187318957,1.7213215661440397,1.6491 (1.5723-1.7213),0.03334678716116803,0.03334678716116802,0.03334678716116803,0.0333 (0.0333-0.0333)
1,Deterministic,abdomen/liver,subgroup exploratory,13,10,0.7713786214377336,0.5359260731794768,0.9319111223099766,0.7714 (0.5359-0.9319),0.5607203477277206,0.39326497372791663,0.7269566740235168,0.5607 (0.3933-0.7270),1.0,1.0,1.0,1.0000 (1.0000-1.0000),6.376651796201865,6.376651796201865,6.376651796201865,6.3767 (6.3767-6.3767),0.22418814102564108,0.17575917784421463,0.27702275432900436,0.2242 (0.1758-0.2770),1.5179349655414394,1.4643478768941205,1.5720715017125997,1.5179 (1.4643-1.5721),0.03334678716116802,0.03334678716116802,0.03334678716116803,0.0333 (0.0333-0.0333)
1,Deterministic,other,subgroup exploratory,8,8,0.8532552063975585,0.6602573200904,1.0180034835610234,0.8533 (0.6603-1.0180),0.7322396589443088,0.5652030462088684,0.9119107009920602,0.7322 (0.5652-0.9119),1.0,1.0,1.0,1.0000 (1.0000-1.0000),6.376651796201865,6.376651796201865,6.376651796201865,6.3767 (6.3767-6.3767),0.19253750000000003,0.16293750000000004,0.24023750000000002,0.1925 (0.1629-0.2402),1.5430695761872288,1.4898378981993745,1.6037765103196642,1.5431 (1.4898-1.6038),0.03334678716116803,0.03334678716116803,0.03334678716116803,0.0333 (0.0333-0.0333)
2,MC Dropout,chest/lung,subgroup exploratory,17,12,0.8030206686622234,0.6479840145025241,0.919944983994489,0.8030 (0.6480-0.9199),0.6380859490809049,0.5155931620578057,0.7741577710870766,0.6381 (0.5156-0.7742),0.9803921568627452,0.9285714285714285,1.0,0.9804 (0.9286-1.0000),4.118654275136607,3.7245680420268465,4.471601434894703,4.1187 (3.7246-4.4716),0.07893014705882352,0.07230249675408441,0.14005703161325256,0.0789 (0.0723-0.1401),1.3050405162246856,1.1266709086648454,1.482930217742046,1.3050 (1.1267-1.4829),0.011090001530820697,0.008038442546541605,0.014106685201642894,0.0111 (0.0080-0.0141)
2,MC Dropout,abdomen/liver,subgroup exploratory,13,10,0.7749904127753577,0.571527540482985,0.8827515977125607,0.7750 (0.5715-0.8828),0.5957820917489246,0.4168076137546735,0.7259556562780495,0.5958 (0.4168-0.7260),0.9743589743589745,0.923076923076923,1.0,0.9744 (0.9231-1.0000),3.8923018858133225,3.525888440230425,4.244875187868003,3.8923 (3.5259-4.2449),0.09502147435897439,0.07409150035014007,0.1775559090909091,0.0950 (0.0741-0.1776),1.1927335482793706,1.010618352886471,1.3292418980416223,1.1927 (1.0106-1.3292),0.0118738173152151,0.008865463530202513,0.014538536778984921,0.0119 (0.0089-0.0145)
2,MC Dropout,other,subgroup exploratory,8,8,0.6175692208936461,0.4970656658965345,0.7058778042564422,0.6176 (0.4971-0.7059),0.5577737282154461,0.45541621214698536,0.65532566278715,0.5578 (0.4554-0.6553),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.5044517740910144,3.268821225629946,3.735834987177732,3.5045 (3.2688-3.7358),0.1108541666666667,0.10642416666666667,0.1845625,0.1109 (0.1064-0.1846),1.05284722482108,0.9541154698279327,1.1560575795273373,1.0528 (0.9541-1.1561),0.008799910984522284,0.0062464609034676944,0.011238248014860916,0.0088 (0.0062-0.0112)
3,Deep Ensemble,chest/lung,subgroup exploratory,17,12,0.5853487631679287,0.47039936036400964,0.7034004012751948,0.5853 (0.4704-0.7034),0.4631850896220581,0.35985652138318525,0.5885865886290483,0.4632 (0.3599-0.5886),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.360435077338814,3.2097969900491834,3.5383500459769612,3.3604 (3.2098-3.5384),0.11502524509803924,0.07779097222222224,0.17548539605614974,0.1150 (0.0778-0.1755),1.0028505444231295,0.9065716411396265,1.1245255328354615,1.0029 (0.9066-1.1245),0.3356855938053058,0.2538876020657413,0.4096386818113475,0.3357 (0.2539-0.4096)
3,Deep Ensemble,abdomen/liver,subgroup exploratory,13,10,0.5576838582137921,0.3707561196434327,0.6598307686937875,0.5577 (0.3708-0.6598),0.4203167517120257,0.27806375037069997,0.5367539108392491,0.4203 (0.2781-0.5368),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.32856820071737,3.247291703986374,3.438366031524697,3.3286 (3.2473-3.4384),0.1312394230769231,0.08378008432539684,0.2191489267676768,0.1312 (0.0838-0.2191),0.9751539388558691,0.863324884605143,1.0696149051852832,0.9752 (0.8633-1.0696),0.3035070861222375,0.2029212493716055,0.3730909350784134,0.3035 (0.2029-0.3731)
3,Deep Ensemble,other,subgroup exploratory,8,8,0.3630956510903858,0.27933966436849555,0.43777336390140514,0.3631 (0.2793-0.4378),0.30231941694704195,0.22372908415816106,0.3902794343050724,0.3023 (0.2237-0.3903),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.295127557534727,3.1977203606806515,3.3882898438691074,3.2951 (3.1977-3.3883),0.21857916666666669,0.1733541666666667,0.26024583333333334,0.2186 (0.1734-0.2602),0.8435458819387671,0.7978262815593464,0.8917049945586107,0.8435 (0.7978-0.8917),0.31786895506170837,0.2365174617189446,0.4018308183064864,0.3179 (0.2365-0.4018)
4,MC Dropout,chest/lung,subgroup exploratory,17,12,0.4495664320075657,0.3718322770572195,0.5219919911797727,0.4496 (0.3718-0.5220),0.37109763752997793,0.29522262144349454,0.4534637270778366,0.3711 (0.2952-0.4535),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.2153175195599144,2.9279184422491364,3.5525584224194398,3.2153 (2.9279-3.5526),0.137084068627451,0.10844783905228758,0.18687170454545454,0.1371 (0.1084-0.1869),0.8581602768211217,0.7555388581242559,0.9630103427708313,0.8582 (0.7555-0.9630),0.03703146959719056,0.031185418529920777,0.043124454313010326,0.0370 (0.0312-0.0431)
