Method,m=1 RMSE,m=2 RMSE,m=3 RMSE,m=4 RMSE
Training-set mean target,0.9648 (0.7546-1.1490),0.9648 (0.7398-1.1460),0.9648 (0.7540-1.1513),0.9648 (0.7399-1.1330)
Training-set median target,0.9618 (0.7512-1.1489),0.9618 (0.7484-1.1573),0.9618 (0.7384-1.1405),0.9618 (0.7402-1.1397)
LOCF,0.9628 (0.7313-1.1288),0.7590 (0.6089-0.8752),0.5057 (0.3497-0.6243),0.4530 (0.3322-0.5663)
Ridge trajectory regression,0.9648 (0.7469-1.1479),0.7585 (0.6110-0.8812),0.5328 (0.3877-0.6482),0.4352 (0.3265-0.5453)
Least-squares linear extrapolation,N/A,2.0426 (1.2240-2.5707),0.7525 (0.5199-0.9656),0.4191 (0.3384-0.5039)
Recent-two linear extrapolation,N/A,2.0426 (1.2616-2.5622),1.0288 (0.8286-1.1911),0.8496 (0.6291-1.0750)
Gaussian process regression,N/A,0.7815 (0.5786-0.9066),0.4839 (0.2928-0.6415),0.3867 (0.3072-0.4728)
Gompertz curve fit,N/A,N/A,0.7815 (0.5550-0.9998),0.7076 (0.5004-0.9326)
Logistic curve fit,N/A,N/A,0.7829 (0.5605-0.9850),0.7156 (0.5085-0.9326)
Validation-selected neural/UQ model,0.9662 (0.8471-1.0706),0.7578 (0.6647-0.8240),0.5361 (0.4455-0.6093),0.4253 (0.3668-0.4862)
