variant,m,rmse_mean,rmse_std,mae_mean,ece_mean,nll_mean
relative_log,1,0.9664990647408938,0.0031008413897894147,0.7753831464143698,0.6668375000000001,467063426132.05615
site_time_z_relative,1,0.9704048845521438,0.0009760446964459544,0.7882612628652699,0.6668375000000001,470843137522.8498
site_time_centered_relative,1,0.9722112200579506,0.0016660729818466632,0.7873290284912576,0.6668375000000001,472598253456.78143
relative_log,2,0.7613854253728928,0.007873490222080427,0.6114663193574208,0.6668375000000001,289874546921.6597
site_time_centered_relative,2,0.7663829997198857,0.007566185496118125,0.6178191764517115,0.6668375000000001,293690533504.58246
site_time_z_relative,2,0.7727221368939298,0.011099400516422765,0.6105033308284243,0.6668375000000001,298590815974.0052
site_time_centered_relative,3,0.5378663969252724,0.012885689515212937,0.4296875373182589,0.6668375000000001,144705477455.88492
relative_log,3,0.5465043810744094,0.00387167079356394,0.432976442797665,0.6668375000000001,149338515865.44296
site_time_z_relative,3,0.5706157023355517,0.017456661573880407,0.4572932549317761,0.6668375000000001,162902718207.48584
site_time_centered_relative,4,0.4191897791740286,0.00888929187691655,0.3250730771473364,0.6668375000000001,87886375305.77986
relative_log,4,0.4230936940168111,0.0019729546169348577,0.332931539305208,0.6668375000000001,89505434462.13908
site_time_z_relative,4,0.4495718691425212,0.017084335974791066,0.34721608279991606,0.6668375000000001,101154724261.15337
